Sample ID,Modulus of elasticity – Inner – Warp (MPa),Modulus of elasticity – Inner – Weft (MPa),Shear modulus - Inner (MPa),Modulus of elasticity – Outer – Warp (MPa),Modulus of elasticity – Outer – Weft (MPa),Shear modulus - Outer (MPa),Friction coefficient,Excess Length (m),Image
Sample-1000,100,340,3.88,90,103,8,0.2,0.383,Sample-1000_image.tif
Sample-1001,100,340,3.88,90,250,1.3,0.1,0.636,Sample-1001_image.tif
Sample-1002,100,340,3.88,90,250,1.3,0.2,0.753,Sample-1002_image.tif
Sample-1003,100,340,3.88,90,250,1.79,0.1,0.635,Sample-1003_image.tif
Sample-1004,100,340,3.88,90,250,1.79,0.2,0.774,Sample-1004_image.tif
Sample-1005,100,340,3.88,90,250,6.62,0.1,0.76,Sample-1005_image.tif
Sample-1006,100,340,3.88,90,250,6.62,0.2,0.825,Sample-1006_image.tif
Sample-1007,100,340,3.88,90,250,8,0.1,0.727,Sample-1007_image.tif
Sample-1008,100,340,3.88,90,250,8,0.2,0.767,Sample-1008_image.tif
Sample-1009,100,340,3.88,90,300,1.3,0.1,0.614,Sample-1009_image.tif
Sample-100,100,180,2.807,90,103,1.79,0.2,0.148,Sample-100_image.tif
Sample-1010,100,340,3.88,90,300,1.3,0.2,0.712,Sample-1010_image.tif
Sample-1011,100,340,3.88,90,300,1.79,0.1,0.095,Sample-1011_image.tif
Sample-1012,100,340,3.88,90,300,1.79,0.2,0.795,Sample-1012_image.tif
Sample-1013,100,340,3.88,90,300,6.62,0.1,0.643,Sample-1013_image.tif
Sample-1014,100,340,3.88,90,300,6.62,0.2,0.656,Sample-1014_image.tif
Sample-1015,100,340,3.88,90,300,8,0.1,0.719,Sample-1015_image.tif
Sample-1016,100,340,3.88,90,300,8,0.2,0.522,Sample-1016_image.tif
Sample-1017,100,340,3.88,90,70,1.3,0.1,0.534,Sample-1017_image.tif
Sample-1018,100,340,3.88,90,70,1.3,0.2,0.604,Sample-1018_image.tif
Sample-1019,100,340,3.88,90,70,1.79,0.1,0.508,Sample-1019_image.tif
Sample-101,100,180,2.807,90,103,6.62,0.1,0.243,Sample-101_image.tif
Sample-1020,100,340,3.88,90,70,1.79,0.2,0.681,Sample-1020_image.tif
Sample-1021,100,340,3.88,90,70,6.62,0.1,0.532,Sample-1021_image.tif
Sample-1022,100,340,3.88,90,70,6.62,0.2,0.718,Sample-1022_image.tif
Sample-1023,100,340,3.88,90,70,8,0.1,0.608,Sample-1023_image.tif
Sample-1024,100,340,3.88,90,70,8,0.2,0.709,Sample-1024_image.tif
Sample-1025,100,340,4.812,150,103,1.3,0.1,0.683,Sample-1025_image.tif
Sample-1026,100,340,4.812,150,103,1.3,0.2,0.712,Sample-1026_image.tif
Sample-1027,100,340,4.812,150,103,1.79,0.1,0.679,Sample-1027_image.tif
Sample-1028,100,340,4.812,150,103,1.79,0.2,0.688,Sample-1028_image.tif
Sample-1029,100,340,4.812,150,103,6.62,0.1,0.646,Sample-1029_image.tif
Sample-102,100,180,2.807,90,103,6.62,0.2,0.39,Sample-102_image.tif
Sample-1030,100,340,4.812,150,103,6.62,0.2,0.762,Sample-1030_image.tif
Sample-1031,100,340,4.812,150,103,8,0.1,0.61,Sample-1031_image.tif
Sample-1032,100,340,4.812,150,103,8,0.2,0.793,Sample-1032_image.tif
Sample-1033,100,340,4.812,150,250,1.3,0.1,0.749,Sample-1033_image.tif
Sample-1034,100,340,4.812,150,250,1.3,0.2,0.918,Sample-1034_image.tif
Sample-1035,100,340,4.812,150,250,1.79,0.1,0.669,Sample-1035_image.tif
Sample-1036,100,340,4.812,150,250,1.79,0.2,0.794,Sample-1036_image.tif
Sample-1037,100,340,4.812,150,250,6.62,0.1,0.599,Sample-1037_image.tif
Sample-1038,100,340,4.812,150,250,6.62,0.2,0.895,Sample-1038_image.tif
Sample-1039,100,340,4.812,150,250,8,0.1,0.652,Sample-1039_image.tif
Sample-103,100,180,2.807,90,103,8,0.1,0.275,Sample-103_image.tif
Sample-1040,100,340,4.812,150,250,8,0.2,0.974,Sample-1040_image.tif
Sample-1041,100,340,4.812,150,300,1.3,0.1,0.711,Sample-1041_image.tif
Sample-1042,100,340,4.812,150,300,1.3,0.2,0.834,Sample-1042_image.tif
Sample-1043,100,340,4.812,150,300,1.79,0.1,0.723,Sample-1043_image.tif
Sample-1044,100,340,4.812,150,300,1.79,0.2,0.857,Sample-1044_image.tif
Sample-1045,100,340,4.812,150,300,6.62,0.1,0.596,Sample-1045_image.tif
Sample-1046,100,340,4.812,150,300,6.62,0.2,0.938,Sample-1046_image.tif
Sample-1047,100,340,4.812,150,300,8,0.1,0.692,Sample-1047_image.tif
Sample-1048,100,340,4.812,150,300,8,0.2,0.787,Sample-1048_image.tif
Sample-1049,100,340,4.812,150,70,1.3,0.1,0.593,Sample-1049_image.tif
Sample-104,100,180,2.807,90,103,8,0.2,0.3,Sample-104_image.tif
Sample-1050,100,340,4.812,150,70,1.3,0.2,0.724,Sample-1050_image.tif
Sample-1051,100,340,4.812,150,70,1.79,0.1,0.607,Sample-1051_image.tif
Sample-1052,100,340,4.812,150,70,1.79,0.2,0.714,Sample-1052_image.tif
Sample-1053,100,340,4.812,150,70,6.62,0.1,0.608,Sample-1053_image.tif
Sample-1054,100,340,4.812,150,70,6.62,0.2,0.443,Sample-1054_image.tif
Sample-1055,100,340,4.812,150,70,8,0.1,0.658,Sample-1055_image.tif
Sample-1056,100,340,4.812,150,70,8,0.2,0.698,Sample-1056_image.tif
Sample-1057,100,340,4.812,180,103,1.3,0.1,0.669,Sample-1057_image.tif
Sample-1058,100,340,4.812,180,103,1.3,0.2,0.792,Sample-1058_image.tif
Sample-1059,100,340,4.812,180,103,1.79,0.1,0.694,Sample-1059_image.tif
Sample-105,100,180,2.807,90,250,1.3,0.1,0.301,Sample-105_image.tif
Sample-1060,100,340,4.812,180,103,1.79,0.2,0.696,Sample-1060_image.tif
Sample-1061,100,340,4.812,180,103,6.62,0.1,0.62,Sample-1061_image.tif
Sample-1062,100,340,4.812,180,103,6.62,0.2,0.606,Sample-1062_image.tif
Sample-1063,100,340,4.812,180,103,8,0.1,0.667,Sample-1063_image.tif
Sample-1064,100,340,4.812,180,103,8,0.2,0.782,Sample-1064_image.tif
Sample-1065,100,340,4.812,180,250,1.3,0.1,0.684,Sample-1065_image.tif
Sample-1066,100,340,4.812,180,250,1.3,0.2,0.803,Sample-1066_image.tif
Sample-1067,100,340,4.812,180,250,1.79,0.1,0.7,Sample-1067_image.tif
Sample-1068,100,340,4.812,180,250,1.79,0.2,0.852,Sample-1068_image.tif
Sample-1069,100,340,4.812,180,250,6.62,0.1,0.636,Sample-1069_image.tif
Sample-106,100,180,2.807,90,250,1.3,0.2,0.463,Sample-106_image.tif
Sample-1070,100,340,4.812,180,250,6.62,0.2,0.891,Sample-1070_image.tif
Sample-1071,100,340,4.812,180,250,8,0.1,0.648,Sample-1071_image.tif
Sample-1072,100,340,4.812,180,250,8,0.2,1.035,Sample-1072_image.tif
Sample-1073,100,340,4.812,180,300,1.3,0.1,0.763,Sample-1073_image.tif
Sample-1074,100,340,4.812,180,300,1.3,0.2,0.818,Sample-1074_image.tif
Sample-1075,100,340,4.812,180,300,1.79,0.1,0.738,Sample-1075_image.tif
Sample-1076,100,340,4.812,180,300,1.79,0.2,0.824,Sample-1076_image.tif
Sample-1077,100,340,4.812,180,300,6.62,0.1,0.727,Sample-1077_image.tif
Sample-1078,100,340,4.812,180,300,6.62,0.2,0.861,Sample-1078_image.tif
Sample-1079,100,340,4.812,180,300,8,0.1,0.64,Sample-1079_image.tif
Sample-107,100,180,2.807,90,250,1.79,0.1,0.272,Sample-107_image.tif
Sample-1080,100,340,4.812,180,300,8,0.2,3.076,Sample-1080_image.tif
Sample-1081,100,340,4.812,180,70,1.3,0.1,0.693,Sample-1081_image.tif
Sample-1082,100,340,4.812,180,70,1.3,0.2,0.728,Sample-1082_image.tif
Sample-1083,100,340,4.812,180,70,1.79,0.1,0.598,Sample-1083_image.tif
Sample-1084,100,340,4.812,180,70,1.79,0.2,0.718,Sample-1084_image.tif
Sample-1085,100,340,4.812,180,70,6.62,0.1,0.643,Sample-1085_image.tif
Sample-1086,100,340,4.812,180,70,6.62,0.2,0.831,Sample-1086_image.tif
Sample-1087,100,340,4.812,180,70,8,0.1,0.646,Sample-1087_image.tif
Sample-1088,100,340,4.812,180,70,8,0.2,0.693,Sample-1088_image.tif
Sample-1089,100,340,4.812,70,103,1.3,0.1,0.496,Sample-1089_image.tif
Sample-108,100,180,2.807,90,250,1.79,0.2,0.305,Sample-108_image.tif
Sample-1090,100,340,4.812,70,103,1.3,0.2,0.685,Sample-1090_image.tif
Sample-1091,100,340,4.812,70,103,1.79,0.1,0.383,Sample-1091_image.tif
Sample-1092,100,340,4.812,70,103,1.79,0.2,0.707,Sample-1092_image.tif
Sample-1093,100,340,4.812,70,103,6.62,0.1,0.347,Sample-1093_image.tif
Sample-1094,100,340,4.812,70,103,6.62,0.2,0.335,Sample-1094_image.tif
Sample-1095,100,340,4.812,70,103,8,0.1,0.36,Sample-1095_image.tif
Sample-1096,100,340,4.812,70,103,8,0.2,0.738,Sample-1096_image.tif
Sample-1097,100,340,4.812,70,250,1.3,0.1,0.572,Sample-1097_image.tif
Sample-1098,100,340,4.812,70,250,1.3,0.2,0.756,Sample-1098_image.tif
Sample-1099,100,340,4.812,70,250,1.79,0.1,0.589,Sample-1099_image.tif
Sample-109,100,180,2.807,90,250,6.62,0.1,0.273,Sample-109_image.tif
Sample-10,100,180,2.807,150,250,1.3,0.2,0.501,Sample-10_image.tif
Sample-1100,100,340,4.812,70,250,1.79,0.2,0.74,Sample-1100_image.tif
Sample-1101,100,340,4.812,70,250,6.62,0.1,0.695,Sample-1101_image.tif
Sample-1102,100,340,4.812,70,250,6.62,0.2,0.761,Sample-1102_image.tif
Sample-1103,100,340,4.812,70,250,8,0.1,0.678,Sample-1103_image.tif
Sample-1104,100,340,4.812,70,250,8,0.2,0.883,Sample-1104_image.tif
Sample-1105,100,340,4.812,70,300,1.3,0.1,0.721,Sample-1105_image.tif
Sample-1106,100,340,4.812,70,300,1.3,0.2,0.163,Sample-1106_image.tif
Sample-1107,100,340,4.812,70,300,1.79,0.1,0.632,Sample-1107_image.tif
Sample-1108,100,340,4.812,70,300,1.79,0.2,0.403,Sample-1108_image.tif
Sample-1109,100,340,4.812,70,300,6.62,0.1,0.633,Sample-1109_image.tif
Sample-110,100,180,2.807,90,250,6.62,0.2,0.3,Sample-110_image.tif
Sample-1110,100,340,4.812,70,300,6.62,0.2,-1.924,Sample-1110_image.tif
Sample-1111,100,340,4.812,70,300,8,0.1,0.634,Sample-1111_image.tif
Sample-1112,100,340,4.812,70,300,8,0.2,0.18,Sample-1112_image.tif
Sample-1113,100,340,4.812,70,70,1.3,0.1,0.462,Sample-1113_image.tif
Sample-1114,100,340,4.812,70,70,1.3,0.2,0.631,Sample-1114_image.tif
Sample-1115,100,340,4.812,70,70,1.79,0.1,0.38,Sample-1115_image.tif
Sample-1116,100,340,4.812,70,70,1.79,0.2,0.621,Sample-1116_image.tif
Sample-1117,100,340,4.812,70,70,6.62,0.1,0.456,Sample-1117_image.tif
Sample-1118,100,340,4.812,70,70,6.62,0.2,0.546,Sample-1118_image.tif
Sample-1119,100,340,4.812,70,70,8,0.1,0.362,Sample-1119_image.tif
Sample-111,100,180,2.807,90,250,8,0.1,0.065,Sample-111_image.tif
Sample-1120,100,340,4.812,70,70,8,0.2,0.609,Sample-1120_image.tif
Sample-1121,100,340,4.812,90,103,1.3,0.1,0.554,Sample-1121_image.tif
Sample-1122,100,340,4.812,90,103,1.3,0.2,0.699,Sample-1122_image.tif
Sample-1123,100,340,4.812,90,103,1.79,0.1,0.524,Sample-1123_image.tif
Sample-1124,100,340,4.812,90,103,1.79,0.2,0.703,Sample-1124_image.tif
Sample-1125,100,340,4.812,90,103,6.62,0.1,0.607,Sample-1125_image.tif
Sample-1126,100,340,4.812,90,103,6.62,0.2,0.702,Sample-1126_image.tif
Sample-1127,100,340,4.812,90,103,8,0.1,0.534,Sample-1127_image.tif
Sample-1128,100,340,4.812,90,103,8,0.2,0.715,Sample-1128_image.tif
Sample-1129,100,340,4.812,90,250,1.3,0.1,0.59,Sample-1129_image.tif
Sample-112,100,180,2.807,90,250,8,0.2,0.459,Sample-112_image.tif
Sample-1130,100,340,4.812,90,250,1.3,0.2,0.767,Sample-1130_image.tif
Sample-1131,100,340,4.812,90,250,1.79,0.1,0.712,Sample-1131_image.tif
Sample-1132,100,340,4.812,90,250,1.79,0.2,0.784,Sample-1132_image.tif
Sample-1133,100,340,4.812,90,250,6.62,0.1,0.675,Sample-1133_image.tif
Sample-1134,100,340,4.812,90,250,6.62,0.2,0.782,Sample-1134_image.tif
Sample-1135,100,340,4.812,90,250,8,0.1,0.723,Sample-1135_image.tif
Sample-1136,100,340,4.812,90,250,8,0.2,0.751,Sample-1136_image.tif
Sample-1137,100,340,4.812,90,300,1.3,0.1,0.639,Sample-1137_image.tif
Sample-1138,100,340,4.812,90,300,1.3,0.2,0.775,Sample-1138_image.tif
Sample-1139,100,340,4.812,90,300,1.79,0.1,0.626,Sample-1139_image.tif
Sample-113,100,180,2.807,90,300,1.3,0.1,0.194,Sample-113_image.tif
Sample-1140,100,340,4.812,90,300,1.79,0.2,0.588,Sample-1140_image.tif
Sample-1141,100,340,4.812,90,300,6.62,0.1,0.611,Sample-1141_image.tif
Sample-1142,100,340,4.812,90,300,6.62,0.2,0.762,Sample-1142_image.tif
Sample-1143,100,340,4.812,90,300,8,0.1,0.698,Sample-1143_image.tif
Sample-1144,100,340,4.812,90,300,8,0.2,0.755,Sample-1144_image.tif
Sample-1145,100,340,4.812,90,70,1.3,0.1,0.549,Sample-1145_image.tif
Sample-1146,100,340,4.812,90,70,1.3,0.2,0.641,Sample-1146_image.tif
Sample-1147,100,340,4.812,90,70,1.79,0.1,0.634,Sample-1147_image.tif
Sample-1148,100,340,4.812,90,70,1.79,0.2,0.652,Sample-1148_image.tif
Sample-1149,100,340,4.812,90,70,6.62,0.1,0.589,Sample-1149_image.tif
Sample-114,100,180,2.807,90,300,1.3,0.2,0.425,Sample-114_image.tif
Sample-1150,100,340,4.812,90,70,6.62,0.2,0.521,Sample-1150_image.tif
Sample-1151,100,340,4.812,90,70,8,0.1,0.597,Sample-1151_image.tif
Sample-1152,100,340,4.812,90,70,8,0.2,0.695,Sample-1152_image.tif
Sample-1153,140,180,2.807,150,103,1.3,0.1,-0.042,Sample-1153_image.tif
Sample-1154,140,180,2.807,150,103,1.3,0.2,0.075,Sample-1154_image.tif
Sample-1155,140,180,2.807,150,103,1.79,0.1,-0.026,Sample-1155_image.tif
Sample-1156,140,180,2.807,150,103,1.79,0.2,0.092,Sample-1156_image.tif
Sample-1157,140,180,2.807,150,103,6.62,0.1,0.033,Sample-1157_image.tif
Sample-1158,140,180,2.807,150,103,6.62,0.2,0.058,Sample-1158_image.tif
Sample-1159,140,180,2.807,150,103,8,0.1,0.018,Sample-1159_image.tif
Sample-115,100,180,2.807,90,300,1.79,0.1,0.134,Sample-115_image.tif
Sample-1160,140,180,2.807,150,103,8,0.2,0.08,Sample-1160_image.tif
Sample-1161,140,180,2.807,150,250,1.3,0.1,-0.023,Sample-1161_image.tif
Sample-1162,140,180,2.807,150,250,1.3,0.2,0.108,Sample-1162_image.tif
Sample-1163,140,180,2.807,150,250,1.79,0.1,-0.02,Sample-1163_image.tif
Sample-1164,140,180,2.807,150,250,1.79,0.2,0.062,Sample-1164_image.tif
Sample-1165,140,180,2.807,150,250,6.62,0.1,0.019,Sample-1165_image.tif
Sample-1166,140,180,2.807,150,250,6.62,0.2,0.221,Sample-1166_image.tif
Sample-1167,140,180,2.807,150,250,8,0.1,0.021,Sample-1167_image.tif
Sample-1168,140,180,2.807,150,250,8,0.2,0.179,Sample-1168_image.tif
Sample-1169,140,180,2.807,150,300,1.3,0.1,0.032,Sample-1169_image.tif
Sample-116,100,180,2.807,90,300,1.79,0.2,0.389,Sample-116_image.tif
Sample-1170,140,180,2.807,150,300,1.3,0.2,0.179,Sample-1170_image.tif
Sample-1171,140,180,2.807,150,300,1.79,0.1,-0.022,Sample-1171_image.tif
Sample-1172,140,180,2.807,150,300,1.79,0.2,0.067,Sample-1172_image.tif
Sample-1173,140,180,2.807,150,300,6.62,0.1,0.05,Sample-1173_image.tif
Sample-1174,140,180,2.807,150,300,6.62,0.2,0.055,Sample-1174_image.tif
Sample-1175,140,180,2.807,150,300,8,0.1,0.033,Sample-1175_image.tif
Sample-1176,140,180,2.807,150,300,8,0.2,0.278,Sample-1176_image.tif
Sample-1177,140,180,2.807,150,70,1.3,0.1,-0.044,Sample-1177_image.tif
Sample-1178,140,180,2.807,150,70,1.3,0.2,0.081,Sample-1178_image.tif
Sample-1179,140,180,2.807,150,70,1.79,0.1,0.039,Sample-1179_image.tif
Sample-117,100,180,2.807,90,300,6.62,0.1,0.143,Sample-117_image.tif
Sample-1180,140,180,2.807,150,70,1.79,0.2,0.086,Sample-1180_image.tif
Sample-1181,140,180,2.807,150,70,6.62,0.1,0.02,Sample-1181_image.tif
Sample-1182,140,180,2.807,150,70,6.62,0.2,-0.016,Sample-1182_image.tif
Sample-1183,140,180,2.807,150,70,8,0.1,0.024,Sample-1183_image.tif
Sample-1184,140,180,2.807,150,70,8,0.2,0.019,Sample-1184_image.tif
Sample-1185,140,180,2.807,180,103,1.3,0.1,-0.015,Sample-1185_image.tif
Sample-1186,140,180,2.807,180,103,1.3,0.2,0.094,Sample-1186_image.tif
Sample-1187,140,180,2.807,180,103,1.79,0.1,0.107,Sample-1187_image.tif
Sample-1188,140,180,2.807,180,103,1.79,0.2,0.087,Sample-1188_image.tif
Sample-1189,140,180,2.807,180,103,6.62,0.1,0.012,Sample-1189_image.tif
Sample-118,100,180,2.807,90,300,6.62,0.2,0.4,Sample-118_image.tif
Sample-1190,140,180,2.807,180,103,6.62,0.2,0.058,Sample-1190_image.tif
Sample-1191,140,180,2.807,180,103,8,0.1,-0.042,Sample-1191_image.tif
Sample-1192,140,180,2.807,180,103,8,0.2,0.096,Sample-1192_image.tif
Sample-1193,140,180,2.807,180,250,1.3,0.1,-0.013,Sample-1193_image.tif
Sample-1194,140,180,2.807,180,250,1.3,0.2,0.239,Sample-1194_image.tif
Sample-1195,140,180,2.807,180,250,1.79,0.1,-0.006,Sample-1195_image.tif
Sample-1196,140,180,2.807,180,250,1.79,0.2,0.103,Sample-1196_image.tif
Sample-1197,140,180,2.807,180,250,6.62,0.1,0.025,Sample-1197_image.tif
Sample-1198,140,180,2.807,180,250,6.62,0.2,0.048,Sample-1198_image.tif
Sample-1199,140,180,2.807,180,250,8,0.1,0.014,Sample-1199_image.tif
Sample-119,100,180,2.807,90,300,8,0.1,0.217,Sample-119_image.tif
Sample-11,100,180,2.807,150,250,1.79,0.1,0.303,Sample-11_image.tif
Sample-1200,140,180,2.807,180,250,8,0.2,0.086,Sample-1200_image.tif
Sample-1201,140,180,2.807,180,300,1.3,0.1,0.021,Sample-1201_image.tif
Sample-1202,140,180,2.807,180,300,1.3,0.2,2.173,Sample-1202_image.tif
Sample-1203,140,180,2.807,180,300,1.79,0.1,0.049,Sample-1203_image.tif
Sample-1204,140,180,2.807,180,300,1.79,0.2,0.05,Sample-1204_image.tif
Sample-1205,140,180,2.807,180,300,6.62,0.1,0.028,Sample-1205_image.tif
Sample-1206,140,180,2.807,180,300,6.62,0.2,0.069,Sample-1206_image.tif
Sample-1207,140,180,2.807,180,300,8,0.1,-0.021,Sample-1207_image.tif
Sample-1208,140,180,2.807,180,300,8,0.2,0.177,Sample-1208_image.tif
Sample-1209,140,180,2.807,180,70,1.3,0.1,0.016,Sample-1209_image.tif
Sample-120,100,180,2.807,90,300,8,0.2,0.272,Sample-120_image.tif
Sample-1210,140,180,2.807,180,70,1.3,0.2,0.117,Sample-1210_image.tif
Sample-1211,140,180,2.807,180,70,1.79,0.1,0.019,Sample-1211_image.tif
Sample-1212,140,180,2.807,180,70,1.79,0.2,0.1,Sample-1212_image.tif
Sample-1213,140,180,2.807,180,70,6.62,0.1,-0.009,Sample-1213_image.tif
Sample-1214,140,180,2.807,180,70,6.62,0.2,0.108,Sample-1214_image.tif
Sample-1215,140,180,2.807,180,70,8,0.1,0.018,Sample-1215_image.tif
Sample-1216,140,180,2.807,180,70,8,0.2,0.104,Sample-1216_image.tif
Sample-1217,140,180,2.807,70,103,1.3,0.1,-0.034,Sample-1217_image.tif
Sample-1218,140,180,2.807,70,103,1.3,0.2,-0.141,Sample-1218_image.tif
Sample-1219,140,180,2.807,70,103,1.79,0.1,-0.066,Sample-1219_image.tif
Sample-121,100,180,2.807,90,70,1.3,0.1,0.181,Sample-121_image.tif
Sample-1220,140,180,2.807,70,103,1.79,0.2,-0.013,Sample-1220_image.tif
Sample-1221,140,180,2.807,70,103,6.62,0.1,-0.07,Sample-1221_image.tif
Sample-1222,140,180,2.807,70,103,6.62,0.2,0.011,Sample-1222_image.tif
Sample-1223,140,180,2.807,70,103,8,0.1,-0.071,Sample-1223_image.tif
Sample-1224,140,180,2.807,70,103,8,0.2,-0.067,Sample-1224_image.tif
Sample-1225,140,180,2.807,70,250,1.3,0.1,-0.048,Sample-1225_image.tif
Sample-1226,140,180,2.807,70,250,1.3,0.2,0.029,Sample-1226_image.tif
Sample-1227,140,180,2.807,70,250,1.79,0.1,-0.084,Sample-1227_image.tif
Sample-1228,140,180,2.807,70,250,1.79,0.2,0.01,Sample-1228_image.tif
Sample-1229,140,180,2.807,70,250,6.62,0.1,-0.003,Sample-1229_image.tif
Sample-122,100,180,2.807,90,70,1.3,0.2,0.471,Sample-122_image.tif
Sample-1230,140,180,2.807,70,250,6.62,0.2,0.048,Sample-1230_image.tif
Sample-1231,140,180,2.807,70,250,8,0.1,-0.033,Sample-1231_image.tif
Sample-1232,140,180,2.807,70,250,8,0.2,0.042,Sample-1232_image.tif
Sample-1233,140,180,2.807,70,300,1.3,0.1,0.189,Sample-1233_image.tif
Sample-1234,140,180,2.807,70,300,1.3,0.2,-0.155,Sample-1234_image.tif
Sample-1235,140,180,2.807,70,300,1.79,0.1,-0.041,Sample-1235_image.tif
Sample-1236,140,180,2.807,70,300,1.79,0.2,-0.03,Sample-1236_image.tif
Sample-1237,140,180,2.807,70,300,6.62,0.1,-0.042,Sample-1237_image.tif
Sample-1238,140,180,2.807,70,300,6.62,0.2,-0.13,Sample-1238_image.tif
Sample-1239,140,180,2.807,70,300,8,0.1,-0.048,Sample-1239_image.tif
Sample-123,100,180,2.807,90,70,1.79,0.1,0.28,Sample-123_image.tif
Sample-1240,140,180,2.807,70,300,8,0.2,0.002,Sample-1240_image.tif
Sample-1241,140,180,2.807,70,70,1.3,0.1,-0.059,Sample-1241_image.tif
Sample-1242,140,180,2.807,70,70,1.3,0.2,0.081,Sample-1242_image.tif
Sample-1243,140,180,2.807,70,70,1.79,0.1,-0.03,Sample-1243_image.tif
Sample-1244,140,180,2.807,70,70,1.79,0.2,0.133,Sample-1244_image.tif
Sample-1245,140,180,2.807,70,70,6.62,0.1,-0.038,Sample-1245_image.tif
Sample-1246,140,180,2.807,70,70,6.62,0.2,-0.022,Sample-1246_image.tif
Sample-1247,140,180,2.807,70,70,8,0.1,-0.065,Sample-1247_image.tif
Sample-1248,140,180,2.807,70,70,8,0.2,0.01,Sample-1248_image.tif
Sample-1249,140,180,2.807,90,103,1.3,0.1,-0.035,Sample-1249_image.tif
Sample-124,100,180,2.807,90,70,1.79,0.2,0.3,Sample-124_image.tif
Sample-1250,140,180,2.807,90,103,1.3,0.2,-0.015,Sample-1250_image.tif
Sample-1251,140,180,2.807,90,103,1.79,0.1,-0.067,Sample-1251_image.tif
Sample-1252,140,180,2.807,90,103,1.79,0.2,0.061,Sample-1252_image.tif
Sample-1253,140,180,2.807,90,103,6.62,0.1,0.041,Sample-1253_image.tif
Sample-1254,140,180,2.807,90,103,6.62,0.2,-0.009,Sample-1254_image.tif
Sample-1255,140,180,2.807,90,103,8,0.1,0.015,Sample-1255_image.tif
Sample-1256,140,180,2.807,90,103,8,0.2,0.095,Sample-1256_image.tif
Sample-1257,140,180,2.807,90,250,1.3,0.1,0.032,Sample-1257_image.tif
Sample-1258,140,180,2.807,90,250,1.3,0.2,0.088,Sample-1258_image.tif
Sample-1259,140,180,2.807,90,250,1.79,0.1,-0.019,Sample-1259_image.tif
Sample-125,100,180,2.807,90,70,6.62,0.1,0.204,Sample-125_image.tif
Sample-1260,140,180,2.807,90,250,1.79,0.2,0.032,Sample-1260_image.tif
Sample-1261,140,180,2.807,90,250,6.62,0.1,-0.03,Sample-1261_image.tif
Sample-1262,140,180,2.807,90,250,6.62,0.2,-0.099,Sample-1262_image.tif
Sample-1263,140,180,2.807,90,250,8,0.1,-0.012,Sample-1263_image.tif
Sample-1264,140,180,2.807,90,250,8,0.2,0.042,Sample-1264_image.tif
Sample-1265,140,180,2.807,90,300,1.3,0.1,-0.07,Sample-1265_image.tif
Sample-1266,140,180,2.807,90,300,1.3,0.2,-0.06,Sample-1266_image.tif
Sample-1267,140,180,2.807,90,300,1.79,0.1,-0.057,Sample-1267_image.tif
Sample-1268,140,180,2.807,90,300,1.79,0.2,0.052,Sample-1268_image.tif
Sample-1269,140,180,2.807,90,300,6.62,0.1,-0.076,Sample-1269_image.tif
Sample-126,100,180,2.807,90,70,6.62,0.2,0.377,Sample-126_image.tif
Sample-1270,140,180,2.807,90,300,6.62,0.2,-0.03,Sample-1270_image.tif
Sample-1271,140,180,2.807,90,300,8,0.1,-0.046,Sample-1271_image.tif
Sample-1272,140,180,2.807,90,300,8,0.2,0.008,Sample-1272_image.tif
Sample-1273,140,180,2.807,90,70,1.3,0.1,-0.017,Sample-1273_image.tif
Sample-1274,140,180,2.807,90,70,1.3,0.2,-0.023,Sample-1274_image.tif
Sample-1275,140,180,2.807,90,70,1.79,0.1,-0.071,Sample-1275_image.tif
Sample-1276,140,180,2.807,90,70,1.79,0.2,0.111,Sample-1276_image.tif
Sample-1277,140,180,2.807,90,70,6.62,0.1,-0.024,Sample-1277_image.tif
Sample-1278,140,180,2.807,90,70,6.62,0.2,0.03,Sample-1278_image.tif
Sample-1279,140,180,2.807,90,70,8,0.1,-0.036,Sample-1279_image.tif
Sample-127,100,180,2.807,90,70,8,0.1,0.158,Sample-127_image.tif
Sample-1280,140,180,2.807,90,70,8,0.2,-0.004,Sample-1280_image.tif
Sample-1281,140,180,3.88,150,103,1.3,0.1,-0.013,Sample-1281_image.tif
Sample-1282,140,180,3.88,150,103,1.3,0.2,0.054,Sample-1282_image.tif
Sample-1283,140,180,3.88,150,103,1.79,0.1,0.007,Sample-1283_image.tif
Sample-1284,140,180,3.88,150,103,1.79,0.2,0.074,Sample-1284_image.tif
Sample-1285,140,180,3.88,150,103,6.62,0.1,-0.056,Sample-1285_image.tif
Sample-1286,140,180,3.88,150,103,6.62,0.2,0.078,Sample-1286_image.tif
Sample-1287,140,180,3.88,150,103,8,0.1,0.023,Sample-1287_image.tif
Sample-1288,140,180,3.88,150,103,8,0.2,0.024,Sample-1288_image.tif
Sample-1289,140,180,3.88,150,250,1.3,0.1,0.042,Sample-1289_image.tif
Sample-128,100,180,2.807,90,70,8,0.2,0.179,Sample-128_image.tif
Sample-1290,140,180,3.88,150,250,1.3,0.2,0.173,Sample-1290_image.tif
Sample-1291,140,180,3.88,150,250,1.79,0.1,-0.06,Sample-1291_image.tif
Sample-1292,140,180,3.88,150,250,1.79,0.2,0.013,Sample-1292_image.tif
Sample-1293,140,180,3.88,150,250,6.62,0.1,0.004,Sample-1293_image.tif
Sample-1294,140,180,3.88,150,250,6.62,0.2,0.066,Sample-1294_image.tif
