,Modulus of elasticity - inner (GPa),Modulus of elasticity - Outer (GPa),Axial load (kN),Friction Coefficient,Total number of snaking,Global snaking length (m),Maximum snaking amplitude (m),Image file name
239,0.1,0.15,14,35.0,9,44.55,6.05167,Snaking_E1_0_E2_4_Fric_7_load_4.tif
240,0.1,0.15,6,40.0,5,9.89,0.545646,Snaking_E1_0_E2_4_Fric_8_load_0.tif
241,0.1,0.15,8,40.0,8,31.1,2.26965,Snaking_E1_0_E2_4_Fric_8_load_1.tif
242,0.1,0.15,10,40.0,8,36.36,2.64515,Snaking_E1_0_E2_4_Fric_8_load_2.tif
243,0.1,0.15,12,40.0,7,37.09,2.71245,Snaking_E1_0_E2_4_Fric_8_load_3.tif
244,0.1,0.15,14,40.0,7,42.82,3.3866400000000003,Snaking_E1_0_E2_4_Fric_8_load_4.tif
245,0.1,0.15,6,45.0,5,8.81,0.383619,Snaking_E1_0_E2_4_Fric_9_load_0.tif
246,0.1,0.15,8,45.0,8,22.92,1.9760900000000001,Snaking_E1_0_E2_4_Fric_9_load_1.tif
247,0.1,0.15,10,45.0,8,37.35,2.07573,Snaking_E1_0_E2_4_Fric_9_load_2.tif
248,0.1,0.15,12,45.0,10,42.09,3.7494199999999998,Snaking_E1_0_E2_4_Fric_9_load_3.tif
249,0.1,0.15,14,45.0,9,45.01,5.95326,Snaking_E1_0_E2_4_Fric_9_load_4.tif
250,0.12,0.07,6,0.01,7,14.34,1.21455,Snaking_E1_1_E2_0_Fric_0_load_0.tif
251,0.12,0.07,8,0.01,10,29.47,1.8002200000000002,Snaking_E1_1_E2_0_Fric_0_load_1.tif
252,0.12,0.07,10,0.01,10,36.27,3.23129,Snaking_E1_1_E2_0_Fric_0_load_2.tif
253,0.12,0.07,12,0.01,10,40.67,5.1950400000000005,Snaking_E1_1_E2_0_Fric_0_load_3.tif
254,0.12,0.07,14,0.01,11,41.94,3.43146,Snaking_E1_1_E2_0_Fric_0_load_4.tif
255,0.12,0.07,6,5.0,7,14.34,1.0504200000000001,Snaking_E1_1_E2_0_Fric_1_load_0.tif
256,0.12,0.07,8,5.0,8,33.25,2.29927,Snaking_E1_1_E2_0_Fric_1_load_1.tif
257,0.12,0.07,10,5.0,8,31.52,2.21323,Snaking_E1_1_E2_0_Fric_1_load_2.tif
258,0.12,0.07,12,5.0,7,40.71,2.3624400000000003,Snaking_E1_1_E2_0_Fric_1_load_3.tif
259,0.12,0.07,14,5.0,10,45.04,3.01507,Snaking_E1_1_E2_0_Fric_1_load_4.tif
260,0.12,0.07,6,10.0,7,14.37,0.738069,Snaking_E1_1_E2_0_Fric_2_load_0.tif
261,0.12,0.07,8,10.0,7,27.31,2.15876,Snaking_E1_1_E2_0_Fric_2_load_1.tif
262,0.12,0.07,10,10.0,8,33.59,2.24967,Snaking_E1_1_E2_0_Fric_2_load_2.tif
263,0.12,0.07,12,10.0,11,40.08,4.924169999999999,Snaking_E1_1_E2_0_Fric_2_load_3.tif
264,0.12,0.07,14,10.0,11,43.93,3.1141900000000002,Snaking_E1_1_E2_0_Fric_2_load_4.tif
265,0.12,0.07,6,15.0,6,12.37,1.11706,Snaking_E1_1_E2_0_Fric_3_load_0.tif
266,0.12,0.07,8,15.0,10,28.96,2.03661,Snaking_E1_1_E2_0_Fric_3_load_1.tif
267,0.12,0.07,10,15.0,10,35.31,3.70851,Snaking_E1_1_E2_0_Fric_3_load_2.tif
268,0.12,0.07,12,15.0,8,42.3,3.84659,Snaking_E1_1_E2_0_Fric_3_load_3.tif
269,0.12,0.07,14,15.0,9,45.97,3.3661300000000005,Snaking_E1_1_E2_0_Fric_3_load_4.tif
270,0.12,0.07,6,20.0,8,17.84,1.18951,Snaking_E1_1_E2_0_Fric_4_load_0.tif
271,0.12,0.07,8,20.0,11,32.04,2.12573,Snaking_E1_1_E2_0_Fric_4_load_1.tif
272,0.12,0.07,10,20.0,9,33.8,3.53505,Snaking_E1_1_E2_0_Fric_4_load_2.tif
273,0.12,0.07,12,20.0,10,39.18,4.088509999999999,Snaking_E1_1_E2_0_Fric_4_load_3.tif
274,0.12,0.07,14,20.0,10,43.25,3.7113300000000002,Snaking_E1_1_E2_0_Fric_4_load_4.tif
275,0.12,0.07,6,25.0,7,15.83,0.7036439999999999,Snaking_E1_1_E2_0_Fric_5_load_0.tif
276,0.12,0.07,8,25.0,7,32.76,2.06549,Snaking_E1_1_E2_0_Fric_5_load_1.tif
277,0.12,0.07,10,25.0,9,36.45,2.74967,Snaking_E1_1_E2_0_Fric_5_load_2.tif
278,0.12,0.07,12,25.0,8,40.67,3.5063699999999995,Snaking_E1_1_E2_0_Fric_5_load_3.tif
279,0.12,0.07,14,25.0,13,44.61,2.3827700000000003,Snaking_E1_1_E2_0_Fric_5_load_4.tif
280,0.12,0.07,6,30.0,7,13.83,0.681754,Snaking_E1_1_E2_0_Fric_6_load_0.tif
281,0.12,0.07,8,30.0,10,29.97,1.65881,Snaking_E1_1_E2_0_Fric_6_load_1.tif
282,0.12,0.07,10,30.0,9,34.34,3.01107,Snaking_E1_1_E2_0_Fric_6_load_2.tif
283,0.12,0.07,12,30.0,11,41.59,3.0326400000000002,Snaking_E1_1_E2_0_Fric_6_load_3.tif
284,0.12,0.07,14,30.0,9,36.58,3.17352,Snaking_E1_1_E2_0_Fric_6_load_4.tif
285,0.12,0.07,6,35.0,8,15.74,0.5753520000000001,Snaking_E1_1_E2_0_Fric_7_load_0.tif
286,0.12,0.07,8,35.0,9,31.64,2.29489,Snaking_E1_1_E2_0_Fric_7_load_1.tif
287,0.12,0.07,10,35.0,8,33.95,2.46041,Snaking_E1_1_E2_0_Fric_7_load_2.tif
288,0.12,0.07,12,35.0,10,40.66,2.98965,Snaking_E1_1_E2_0_Fric_7_load_3.tif
289,0.12,0.07,14,35.0,10,45.09,3.6668199999999995,Snaking_E1_1_E2_0_Fric_7_load_4.tif
290,0.12,0.07,6,40.0,8,17.82,0.745074,Snaking_E1_1_E2_0_Fric_8_load_0.tif
291,0.12,0.07,8,40.0,11,30.41,1.76575,Snaking_E1_1_E2_0_Fric_8_load_1.tif
292,0.12,0.07,10,40.0,9,30.21,3.1023400000000003,Snaking_E1_1_E2_0_Fric_8_load_2.tif
293,0.12,0.07,12,40.0,9,40.15,3.79184,Snaking_E1_1_E2_0_Fric_8_load_3.tif
294,0.12,0.07,14,40.0,9,45.05,2.9973,Snaking_E1_1_E2_0_Fric_8_load_4.tif
295,0.12,0.07,6,45.0,8,15.3,0.625967,Snaking_E1_1_E2_0_Fric_9_load_0.tif
296,0.12,0.07,8,45.0,10,29.52,1.90978,Snaking_E1_1_E2_0_Fric_9_load_1.tif
297,0.12,0.07,10,45.0,8,38.62,2.3324599999999998,Snaking_E1_1_E2_0_Fric_9_load_2.tif
298,0.12,0.07,12,45.0,9,41.25,2.62489,Snaking_E1_1_E2_0_Fric_9_load_3.tif
299,0.12,0.07,14,45.0,14,43.38,2.58785,Snaking_E1_1_E2_0_Fric_9_load_4.tif
300,0.12,0.08,6,0.01,6,12.86,1.1342,Snaking_E1_1_E2_1_Fric_0_load_0.tif
301,0.12,0.08,8,0.01,10,28.52,1.48709,Snaking_E1_1_E2_1_Fric_0_load_1.tif
302,0.12,0.08,10,0.01,10,35.21,2.27005,Snaking_E1_1_E2_1_Fric_0_load_2.tif
303,0.12,0.08,12,0.01,9,43.36,3.2610799999999998,Snaking_E1_1_E2_1_Fric_0_load_3.tif
304,0.12,0.08,14,0.01,13,47.55,3.02239,Snaking_E1_1_E2_1_Fric_0_load_4.tif
305,0.12,0.08,6,5.0,6,11.9,0.831052,Snaking_E1_1_E2_1_Fric_1_load_0.tif
306,0.12,0.08,8,5.0,10,26.59,1.91755,Snaking_E1_1_E2_1_Fric_1_load_1.tif
307,0.12,0.08,10,5.0,10,34.85,2.66266,Snaking_E1_1_E2_1_Fric_1_load_2.tif
308,0.12,0.08,12,5.0,9,38.09,4.7381,Snaking_E1_1_E2_1_Fric_1_load_3.tif
309,0.12,0.08,14,5.0,12,45.92,2.89527,Snaking_E1_1_E2_1_Fric_1_load_4.tif
310,0.12,0.08,6,10.0,7,14.35,0.57422,Snaking_E1_1_E2_1_Fric_2_load_0.tif
311,0.12,0.08,8,10.0,9,29.57,1.59648,Snaking_E1_1_E2_1_Fric_2_load_1.tif
312,0.12,0.08,10,10.0,11,36.28,3.84473,Snaking_E1_1_E2_1_Fric_2_load_2.tif
313,0.12,0.08,12,10.0,11,39.58,3.06082,Snaking_E1_1_E2_1_Fric_2_load_3.tif
314,0.12,0.08,14,10.0,9,46.44,3.8387,Snaking_E1_1_E2_1_Fric_2_load_4.tif
315,0.12,0.08,6,15.0,7,14.35,0.769563,Snaking_E1_1_E2_1_Fric_3_load_0.tif
316,0.12,0.08,8,15.0,7,28.24,2.45629,Snaking_E1_1_E2_1_Fric_3_load_1.tif
317,0.12,0.08,10,15.0,10,36.93,4.09114,Snaking_E1_1_E2_1_Fric_3_load_2.tif
318,0.12,0.08,12,15.0,12,41.75,2.31588,Snaking_E1_1_E2_1_Fric_3_load_3.tif
319,0.12,0.08,14,15.0,5,45.58,2.0664700000000003,Snaking_E1_1_E2_1_Fric_3_load_4.tif
320,0.12,0.08,6,20.0,7,15.37,0.7056140000000001,Snaking_E1_1_E2_1_Fric_4_load_0.tif
321,0.12,0.08,8,20.0,10,27.49,2.00663,Snaking_E1_1_E2_1_Fric_4_load_1.tif
322,0.12,0.08,10,20.0,9,36.08,2.67389,Snaking_E1_1_E2_1_Fric_4_load_2.tif
323,0.12,0.08,12,20.0,9,35.38,4.73003,Snaking_E1_1_E2_1_Fric_4_load_3.tif
324,0.12,0.08,14,20.0,8,46.4,4.38616,Snaking_E1_1_E2_1_Fric_4_load_4.tif
325,0.12,0.08,6,25.0,6,12.86,1.15724,Snaking_E1_1_E2_1_Fric_5_load_0.tif
326,0.12,0.08,8,25.0,11,29.94,1.51514,Snaking_E1_1_E2_1_Fric_5_load_1.tif
327,0.12,0.08,10,25.0,9,34.24,3.44445,Snaking_E1_1_E2_1_Fric_5_load_2.tif
328,0.12,0.08,12,25.0,6,35.68,3.6830300000000005,Snaking_E1_1_E2_1_Fric_5_load_3.tif
329,0.12,0.08,14,25.0,8,44.24,6.14014,Snaking_E1_1_E2_1_Fric_5_load_4.tif
330,0.12,0.08,6,30.0,7,14.85,0.966001,Snaking_E1_1_E2_1_Fric_6_load_0.tif
331,0.12,0.08,8,30.0,11,32.41,1.4913100000000001,Snaking_E1_1_E2_1_Fric_6_load_1.tif
332,0.12,0.08,10,30.0,10,37.27,2.29109,Snaking_E1_1_E2_1_Fric_6_load_2.tif
333,0.12,0.08,12,30.0,9,42.25,2.88231,Snaking_E1_1_E2_1_Fric_6_load_3.tif
334,0.12,0.08,14,30.0,8,42.67,4.27894,Snaking_E1_1_E2_1_Fric_6_load_4.tif
335,0.12,0.08,6,35.0,6,12.85,1.186,Snaking_E1_1_E2_1_Fric_7_load_0.tif
336,0.12,0.08,8,35.0,10,29.01,2.11755,Snaking_E1_1_E2_1_Fric_7_load_1.tif
337,0.12,0.08,10,35.0,8,36.47,2.0722099999999997,Snaking_E1_1_E2_1_Fric_7_load_2.tif
338,0.12,0.08,12,35.0,8,41.23,3.1460000000000004,Snaking_E1_1_E2_1_Fric_7_load_3.tif
339,0.12,0.08,14,35.0,8,43.4,6.11616,Snaking_E1_1_E2_1_Fric_7_load_4.tif
340,0.12,0.08,6,40.0,7,14.87,0.7163069999999999,Snaking_E1_1_E2_1_Fric_8_load_0.tif
341,0.12,0.08,8,40.0,8,23.99,1.57784,Snaking_E1_1_E2_1_Fric_8_load_1.tif
342,0.12,0.08,10,40.0,8,35.93,2.31285,Snaking_E1_1_E2_1_Fric_8_load_2.tif
343,0.12,0.08,12,40.0,13,41.73,2.47162,Snaking_E1_1_E2_1_Fric_8_load_3.tif
344,0.12,0.08,14,40.0,10,45.84,3.53915,Snaking_E1_1_E2_1_Fric_8_load_4.tif
345,0.12,0.08,6,45.0,6,12.87,1.14189,Snaking_E1_1_E2_1_Fric_9_load_0.tif
346,0.12,0.08,8,45.0,9,26.02,2.71618,Snaking_E1_1_E2_1_Fric_9_load_1.tif
347,0.12,0.08,10,45.0,10,34.81,3.21728,Snaking_E1_1_E2_1_Fric_9_load_2.tif
348,0.12,0.08,12,45.0,9,41.76,4.796869999999999,Snaking_E1_1_E2_1_Fric_9_load_3.tif
349,0.12,0.08,14,45.0,9,42.04,6.4505099999999995,Snaking_E1_1_E2_1_Fric_9_load_4.tif
350,0.12,0.09,6,0.01,6,13.37,0.719411,Snaking_E1_1_E2_2_Fric_0_load_0.tif
351,0.12,0.09,8,0.01,6,26.17,2.4130599999999998,Snaking_E1_1_E2_2_Fric_0_load_1.tif
352,0.12,0.09,10,0.01,9,31.74,3.15273,Snaking_E1_1_E2_2_Fric_0_load_2.tif
353,0.12,0.09,12,0.01,9,42.49,3.39909,Snaking_E1_1_E2_2_Fric_0_load_3.tif
354,0.12,0.09,14,0.01,9,45.86,6.6348,Snaking_E1_1_E2_2_Fric_0_load_4.tif
355,0.12,0.09,6,5.0,6,12.38,0.807802,Snaking_E1_1_E2_2_Fric_1_load_0.tif
356,0.12,0.09,8,5.0,8,29.6,2.36075,Snaking_E1_1_E2_2_Fric_1_load_1.tif
357,0.12,0.09,10,5.0,7,36.87,2.08321,Snaking_E1_1_E2_2_Fric_1_load_2.tif
358,0.12,0.09,12,5.0,8,40.66,4.09016,Snaking_E1_1_E2_2_Fric_1_load_3.tif
359,0.12,0.09,14,5.0,8,45.86,5.1790199999999995,Snaking_E1_1_E2_2_Fric_1_load_4.tif
360,0.12,0.09,6,10.0,5,9.88,0.728744,Snaking_E1_1_E2_2_Fric_2_load_0.tif
361,0.12,0.09,8,10.0,12,31.92,1.7217,Snaking_E1_1_E2_2_Fric_2_load_1.tif
362,0.12,0.09,10,10.0,8,36.96,2.25152,Snaking_E1_1_E2_2_Fric_2_load_2.tif
363,0.12,0.09,12,10.0,11,42.17,2.18378,Snaking_E1_1_E2_2_Fric_2_load_3.tif
364,0.12,0.09,14,10.0,9,47.21,5.37098,Snaking_E1_1_E2_2_Fric_2_load_4.tif
365,0.12,0.09,6,15.0,7,14.86,0.860909,Snaking_E1_1_E2_2_Fric_3_load_0.tif
366,0.12,0.09,8,15.0,10,29.0,1.3009600000000001,Snaking_E1_1_E2_2_Fric_3_load_1.tif
367,0.12,0.09,10,15.0,8,36.96,2.15426,Snaking_E1_1_E2_2_Fric_3_load_2.tif
368,0.12,0.09,12,15.0,12,42.65,3.3232199999999996,Snaking_E1_1_E2_2_Fric_3_load_3.tif
369,0.12,0.09,14,15.0,9,42.35,2.64832,Snaking_E1_1_E2_2_Fric_3_load_4.tif
370,0.12,0.09,6,20.0,6,11.86,0.8345049999999999,Snaking_E1_1_E2_2_Fric_4_load_0.tif
371,0.12,0.09,8,20.0,10,28.45,1.29623,Snaking_E1_1_E2_2_Fric_4_load_1.tif
372,0.12,0.09,10,20.0,9,32.78,3.99882,Snaking_E1_1_E2_2_Fric_4_load_2.tif
373,0.12,0.09,12,20.0,8,41.34,2.2431799999999997,Snaking_E1_1_E2_2_Fric_4_load_3.tif
374,0.12,0.09,14,20.0,10,45.02,3.6154599999999997,Snaking_E1_1_E2_2_Fric_4_load_4.tif
375,0.12,0.09,6,25.0,6,12.37,0.789662,Snaking_E1_1_E2_2_Fric_5_load_0.tif
376,0.12,0.09,8,25.0,11,28.46,1.7425099999999998,Snaking_E1_1_E2_2_Fric_5_load_1.tif
377,0.12,0.09,10,25.0,9,35.32,3.12129,Snaking_E1_1_E2_2_Fric_5_load_2.tif
378,0.12,0.09,12,25.0,9,37.98,4.0210099999999995,Snaking_E1_1_E2_2_Fric_5_load_3.tif
379,0.12,0.09,14,25.0,14,46.63,2.89416,Snaking_E1_1_E2_2_Fric_5_load_4.tif
380,0.12,0.09,6,30.0,6,12.4,0.955908,Snaking_E1_1_E2_2_Fric_6_load_0.tif
381,0.12,0.09,8,30.0,9,27.42,1.5096399999999999,Snaking_E1_1_E2_2_Fric_6_load_1.tif
382,0.12,0.09,10,30.0,11,36.75,1.92562,Snaking_E1_1_E2_2_Fric_6_load_2.tif
383,0.12,0.09,12,30.0,8,36.75,2.69731,Snaking_E1_1_E2_2_Fric_6_load_3.tif
384,0.12,0.09,14,30.0,10,44.99,2.91138,Snaking_E1_1_E2_2_Fric_6_load_4.tif
385,0.12,0.09,6,35.0,6,11.85,0.774108,Snaking_E1_1_E2_2_Fric_7_load_0.tif
386,0.12,0.09,8,35.0,9,27.92,2.00957,Snaking_E1_1_E2_2_Fric_7_load_1.tif
387,0.12,0.09,10,35.0,10,36.95,2.8289,Snaking_E1_1_E2_2_Fric_7_load_2.tif
388,0.12,0.09,12,35.0,8,40.68,2.3597099999999998,Snaking_E1_1_E2_2_Fric_7_load_3.tif
389,0.12,0.09,14,35.0,10,43.47,4.8754800000000005,Snaking_E1_1_E2_2_Fric_7_load_4.tif
390,0.12,0.09,6,40.0,6,11.9,0.68202,Snaking_E1_1_E2_2_Fric_8_load_0.tif
391,0.12,0.09,8,40.0,10,31.14,1.9885400000000002,Snaking_E1_1_E2_2_Fric_8_load_1.tif
392,0.12,0.09,10,40.0,8,31.28,3.02378,Snaking_E1_1_E2_2_Fric_8_load_2.tif
393,0.12,0.09,12,40.0,8,36.93,2.75677,Snaking_E1_1_E2_2_Fric_8_load_3.tif
394,0.12,0.09,14,40.0,10,45.7,6.04556,Snaking_E1_1_E2_2_Fric_8_load_4.tif
395,0.12,0.09,6,45.0,6,13.34,0.664407,Snaking_E1_1_E2_2_Fric_9_load_0.tif
396,0.12,0.09,8,45.0,11,29.51,1.70478,Snaking_E1_1_E2_2_Fric_9_load_1.tif
397,0.12,0.09,10,45.0,11,36.3,1.8928599999999998,Snaking_E1_1_E2_2_Fric_9_load_2.tif
398,0.12,0.09,12,45.0,9,41.67,3.6188599999999997,Snaking_E1_1_E2_2_Fric_9_load_3.tif
399,0.12,0.09,14,45.0,13,45.14,2.68066,Snaking_E1_1_E2_2_Fric_9_load_4.tif
400,0.12,0.1,6,0.01,6,12.38,0.946392,Snaking_E1_1_E2_3_Fric_0_load_0.tif
401,0.12,0.1,8,0.01,8,31.14,2.35725,Snaking_E1_1_E2_3_Fric_0_load_1.tif
402,0.12,0.1,10,0.01,10,35.76,1.96544,Snaking_E1_1_E2_3_Fric_0_load_2.tif
403,0.12,0.1,12,0.01,8,41.14,3.54774,Snaking_E1_1_E2_3_Fric_0_load_3.tif
404,0.12,0.1,14,0.01,9,40.57,5.8590800000000005,Snaking_E1_1_E2_3_Fric_0_load_4.tif
405,0.12,0.1,6,5.0,7,14.34,0.500378,Snaking_E1_1_E2_3_Fric_1_load_0.tif
406,0.12,0.1,8,5.0,7,28.07,1.8642400000000001,Snaking_E1_1_E2_3_Fric_1_load_1.tif
407,0.12,0.1,10,5.0,9,29.62,2.14427,Snaking_E1_1_E2_3_Fric_1_load_2.tif
408,0.12,0.1,12,5.0,11,41.11,2.90132,Snaking_E1_1_E2_3_Fric_1_load_3.tif
409,0.12,0.1,14,5.0,10,45.49,3.80876,Snaking_E1_1_E2_3_Fric_1_load_4.tif
410,0.12,0.1,6,10.0,5,9.38,0.634138,Snaking_E1_1_E2_3_Fric_2_load_0.tif
411,0.12,0.1,8,10.0,6,24.15,1.9583099999999998,Snaking_E1_1_E2_3_Fric_2_load_1.tif
412,0.12,0.1,10,10.0,11,35.86,2.10934,Snaking_E1_1_E2_3_Fric_2_load_2.tif
413,0.12,0.1,12,10.0,9,42.24,4.7436,Snaking_E1_1_E2_3_Fric_2_load_3.tif
414,0.12,0.1,14,10.0,12,43.62,3.81972,Snaking_E1_1_E2_3_Fric_2_load_4.tif
415,0.12,0.1,6,15.0,6,11.82,0.609584,Snaking_E1_1_E2_3_Fric_3_load_0.tif
416,0.12,0.1,8,15.0,9,30.64,1.5397299999999998,Snaking_E1_1_E2_3_Fric_3_load_1.tif
417,0.12,0.1,10,15.0,9,37.18,2.5318099999999997,Snaking_E1_1_E2_3_Fric_3_load_2.tif
418,0.12,0.1,12,15.0,10,40.58,2.67385,Snaking_E1_1_E2_3_Fric_3_load_3.tif
419,0.12,0.1,14,15.0,7,44.47,3.01208,Snaking_E1_1_E2_3_Fric_3_load_4.tif
420,0.12,0.1,6,20.0,6,12.37,0.8811479999999999,Snaking_E1_1_E2_3_Fric_4_load_0.tif
421,0.12,0.1,8,20.0,8,31.17,2.2932900000000003,Snaking_E1_1_E2_3_Fric_4_load_1.tif
422,0.12,0.1,10,20.0,5,18.94,2.7902400000000003,Snaking_E1_1_E2_3_Fric_4_load_2.tif
423,0.12,0.1,12,20.0,8,33.46,3.5313199999999996,Snaking_E1_1_E2_3_Fric_4_load_3.tif
424,0.12,0.1,14,20.0,8,43.0,3.19548,Snaking_E1_1_E2_3_Fric_4_load_4.tif
425,0.12,0.1,6,25.0,5,9.39,0.698086,Snaking_E1_1_E2_3_Fric_5_load_0.tif
426,0.12,0.1,8,25.0,9,27.04,1.47563,Snaking_E1_1_E2_3_Fric_5_load_1.tif
427,0.12,0.1,10,25.0,11,37.45,2.45119,Snaking_E1_1_E2_3_Fric_5_load_2.tif
428,0.12,0.1,12,25.0,11,41.13,5.00571,Snaking_E1_1_E2_3_Fric_5_load_3.tif
429,0.12,0.1,14,25.0,10,42.67,3.42256,Snaking_E1_1_E2_3_Fric_5_load_4.tif
430,0.12,0.1,6,30.0,6,12.37,0.720229,Snaking_E1_1_E2_3_Fric_6_load_0.tif
431,0.12,0.1,8,30.0,8,26.55,2.30418,Snaking_E1_1_E2_3_Fric_6_load_1.tif
432,0.12,0.1,10,30.0,11,36.41,1.87401,Snaking_E1_1_E2_3_Fric_6_load_2.tif
433,0.12,0.1,12,30.0,10,37.14,2.91986,Snaking_E1_1_E2_3_Fric_6_load_3.tif
434,0.12,0.1,14,30.0,8,45.85,3.81474,Snaking_E1_1_E2_3_Fric_6_load_4.tif
435,0.12,0.1,6,35.0,6,11.78,0.560922,Snaking_E1_1_E2_3_Fric_7_load_0.tif
436,0.12,0.1,8,35.0,11,29.4,1.42782,Snaking_E1_1_E2_3_Fric_7_load_1.tif
437,0.12,0.1,10,35.0,10,34.86,2.38456,Snaking_E1_1_E2_3_Fric_7_load_2.tif
438,0.12,0.1,12,35.0,12,42.97,2.11895,Snaking_E1_1_E2_3_Fric_7_load_3.tif
439,0.12,0.1,14,35.0,12,45.47,3.80021,Snaking_E1_1_E2_3_Fric_7_load_4.tif
440,0.12,0.1,6,40.0,5,9.37,0.695333,Snaking_E1_1_E2_3_Fric_8_load_0.tif
441,0.12,0.1,8,40.0,8,30.06,2.33937,Snaking_E1_1_E2_3_Fric_8_load_1.tif
442,0.12,0.1,10,40.0,9,29.41,2.12783,Snaking_E1_1_E2_3_Fric_8_load_2.tif
443,0.12,0.1,12,40.0,10,41.16,4.88408,Snaking_E1_1_E2_3_Fric_8_load_3.tif
444,0.12,0.1,14,40.0,6,38.5,5.8907099999999994,Snaking_E1_1_E2_3_Fric_8_load_4.tif
445,0.12,0.1,6,45.0,6,12.36,0.51005,Snaking_E1_1_E2_3_Fric_9_load_0.tif
446,0.12,0.1,8,45.0,11,29.53,1.40309,Snaking_E1_1_E2_3_Fric_9_load_1.tif
447,0.12,0.1,10,45.0,11,38.29,3.1691700000000003,Snaking_E1_1_E2_3_Fric_9_load_2.tif
448,0.12,0.1,12,45.0,8,42.26,2.8612599999999997,Snaking_E1_1_E2_3_Fric_9_load_3.tif
449,0.12,0.1,14,45.0,9,44.26,3.1152900000000003,Snaking_E1_1_E2_3_Fric_9_load_4.tif
450,0.12,0.15,6,0.01,3,3.94,0.29368099999999997,Snaking_E1_1_E2_4_Fric_0_load_0.tif
451,0.12,0.15,8,0.01,8,27.39,1.4264700000000001,Snaking_E1_1_E2_4_Fric_0_load_1.tif
452,0.12,0.15,10,0.01,10,31.23,1.66075,Snaking_E1_1_E2_4_Fric_0_load_2.tif
453,0.12,0.15,12,0.01,10,43.04,3.5927800000000003,Snaking_E1_1_E2_4_Fric_0_load_3.tif
454,0.12,0.15,14,0.01,6,47.28,2.94893,Snaking_E1_1_E2_4_Fric_0_load_4.tif
455,0.12,0.15,6,5.0,5,8.86,0.397846,Snaking_E1_1_E2_4_Fric_1_load_0.tif
456,0.12,0.15,8,5.0,8,22.41,1.70925,Snaking_E1_1_E2_4_Fric_1_load_1.tif
457,0.12,0.15,10,5.0,6,36.76,2.21728,Snaking_E1_1_E2_4_Fric_1_load_2.tif
458,0.12,0.15,12,5.0,9,40.51,4.7382599999999995,Snaking_E1_1_E2_4_Fric_1_load_3.tif
459,0.12,0.15,14,5.0,5,46.83,2.6249700000000002,Snaking_E1_1_E2_4_Fric_1_load_4.tif
460,0.12,0.15,6,10.0,3,4.42,0.287688,Snaking_E1_1_E2_4_Fric_2_load_0.tif
461,0.12,0.15,8,10.0,10,26.92,1.14,Snaking_E1_1_E2_4_Fric_2_load_1.tif
462,0.12,0.15,10,10.0,9,34.28,3.1301799999999997,Snaking_E1_1_E2_4_Fric_2_load_2.tif
463,0.12,0.15,12,10.0,8,38.56,2.62779,Snaking_E1_1_E2_4_Fric_2_load_3.tif
464,0.12,0.15,14,10.0,6,43.84,2.74949,Snaking_E1_1_E2_4_Fric_2_load_4.tif
465,0.12,0.15,6,15.0,5,9.35,0.40135,Snaking_E1_1_E2_4_Fric_3_load_0.tif
466,0.12,0.15,8,15.0,10,26.81,1.2166700000000001,Snaking_E1_1_E2_4_Fric_3_load_1.tif
467,0.12,0.15,10,15.0,7,36.82,1.9262700000000001,Snaking_E1_1_E2_4_Fric_3_load_2.tif
468,0.12,0.15,12,15.0,11,43.06,3.78505,Snaking_E1_1_E2_4_Fric_3_load_3.tif
469,0.12,0.15,14,15.0,7,45.65,4.9673099999999994,Snaking_E1_1_E2_4_Fric_3_load_4.tif
470,0.12,0.15,6,20.0,5,8.95,0.383257,Snaking_E1_1_E2_4_Fric_4_load_0.tif
471,0.12,0.15,8,20.0,8,26.44,1.7921099999999999,Snaking_E1_1_E2_4_Fric_4_load_1.tif
472,0.12,0.15,10,20.0,7,31.75,2.64816,Snaking_E1_1_E2_4_Fric_4_load_2.tif
473,0.12,0.15,12,20.0,10,39.99,4.71986,Snaking_E1_1_E2_4_Fric_4_load_3.tif
474,0.12,0.15,14,20.0,11,44.45,2.72647,Snaking_E1_1_E2_4_Fric_4_load_4.tif
475,0.12,0.15,6,25.0,4,6.44,0.34375100000000003,Snaking_E1_1_E2_4_Fric_5_load_0.tif
476,0.12,0.15,8,25.0,7,23.52,2.05574,Snaking_E1_1_E2_4_Fric_5_load_1.tif
477,0.12,0.15,10,25.0,10,36.2,1.39141,Snaking_E1_1_E2_4_Fric_5_load_2.tif
478,0.12,0.15,12,25.0,9,38.22,3.11678,Snaking_E1_1_E2_4_Fric_5_load_3.tif
479,0.12,0.15,14,25.0,11,47.31,5.55534,Snaking_E1_1_E2_4_Fric_5_load_4.tif
480,0.12,0.15,6,30.0,3,4.42,0.265861,Snaking_E1_1_E2_4_Fric_6_load_0.tif
481,0.12,0.15,8,30.0,8,22.96,1.8103599999999997,Snaking_E1_1_E2_4_Fric_6_load_1.tif
482,0.12,0.15,10,30.0,6,31.28,2.7468,Snaking_E1_1_E2_4_Fric_6_load_2.tif
483,0.12,0.15,12,30.0,7,40.52,2.49317,Snaking_E1_1_E2_4_Fric_6_load_3.tif
484,0.12,0.15,14,30.0,7,44.36,2.4527900000000002,Snaking_E1_1_E2_4_Fric_6_load_4.tif
485,0.12,0.15,6,35.0,3,4.46,0.335347,Snaking_E1_1_E2_4_Fric_7_load_0.tif
