,Modulus of elasticity - inner (GPa),Modulus of elasticity - Outer (GPa),Axial load (kN),Friction Coefficient,Total number of snaking,Global snaking length (m),Maximum snaking amplitude (m),Image file name
48,0.1,0.07,12,45.0,10,37.65,4.58378,Snaking_E1_0_E2_0_Fric_9_load_3.tif
49,0.1,0.07,14,45.0,8,43.59,4.0319,Snaking_E1_0_E2_0_Fric_9_load_4.tif
50,0.1,0.08,6,0.01,7,15.39,1.5279,Snaking_E1_0_E2_1_Fric_0_load_0.tif
51,0.1,0.08,8,0.01,11,30.46,1.44665,Snaking_E1_0_E2_1_Fric_0_load_1.tif
52,0.1,0.08,10,0.01,10,34.38,3.81965,Snaking_E1_0_E2_1_Fric_0_load_2.tif
53,0.1,0.08,12,0.01,9,35.93,2.29383,Snaking_E1_0_E2_1_Fric_0_load_3.tif
54,0.1,0.08,14,0.01,13,43.1,2.95399,Snaking_E1_0_E2_1_Fric_0_load_4.tif
55,0.1,0.08,6,5.0,7,14.37,1.2827899999999999,Snaking_E1_0_E2_1_Fric_1_load_0.tif
56,0.1,0.08,8,5.0,8,26.08,1.97337,Snaking_E1_0_E2_1_Fric_1_load_1.tif
57,0.1,0.08,10,5.0,12,36.33,2.2376,Snaking_E1_0_E2_1_Fric_1_load_2.tif
58,0.1,0.08,12,5.0,11,40.71,1.9010200000000002,Snaking_E1_0_E2_1_Fric_1_load_3.tif
59,0.1,0.08,14,5.0,10,45.24,3.4888,Snaking_E1_0_E2_1_Fric_1_load_4.tif
60,0.1,0.08,6,10.0,7,14.88,1.4766700000000001,Snaking_E1_0_E2_1_Fric_2_load_0.tif
61,0.1,0.08,8,10.0,10,30.59,1.81608,Snaking_E1_0_E2_1_Fric_2_load_1.tif
62,0.1,0.08,10,10.0,12,36.43,2.10422,Snaking_E1_0_E2_1_Fric_2_load_2.tif
63,0.1,0.08,12,10.0,10,37.19,2.74042,Snaking_E1_0_E2_1_Fric_2_load_3.tif
64,0.1,0.08,14,10.0,8,43.48,2.6994599999999997,Snaking_E1_0_E2_1_Fric_2_load_4.tif
65,0.1,0.08,6,15.0,6,12.37,1.32445,Snaking_E1_0_E2_1_Fric_3_load_0.tif
66,0.1,0.08,8,15.0,9,26.59,2.2632,Snaking_E1_0_E2_1_Fric_3_load_1.tif
67,0.1,0.08,10,15.0,11,34.91,2.26512,Snaking_E1_0_E2_1_Fric_3_load_2.tif
