Modulus of elasticity – Inner – Warp (MPa),Modulus of elasticity – Inner – Weft (MPa),Shear modulus - Inner (MPa),Modulus of elasticity – Outer – Warp (MPa),Modulus of elasticity – Outer – Weft (MPa),Shear modulus - Outer (MPa),Friction coefficient,Excess Length (m)
140,340,4.812,180,250,1.3,0.1,0.174
140,340,4.812,180,250,1.3,0.2,0.315
140,340,4.812,180,250,1.79,0.1,0.1
100,180,3.88,70,70,6.62,0.1,0.157
140,340,4.812,180,250,1.79,0.2,0.157
140,340,4.812,180,250,6.62,0.1,0.168
140,340,4.812,180,250,6.62,0.2,0.243
140,340,4.812,180,250,8,0.1,0.118
140,340,4.812,180,250,8,0.2,0.257
140,340,4.812,180,300,1.3,0.1,0.147
140,340,4.812,180,300,1.3,0.2,0.3
140,340,4.812,180,300,1.79,0.1,0.15
140,340,4.812,180,300,1.79,0.2,0.37
140,340,4.812,180,300,6.62,0.1,0.12
100,180,3.88,70,70,6.62,0.2,0.239
140,340,4.812,180,300,6.62,0.2,0.266
140,340,4.812,180,300,8,0.1,0.205
140,340,4.812,180,300,8,0.2,0.297
140,340,4.812,180,70,1.3,0.1,0.114
140,340,4.812,180,70,1.3,0.2,0.318
140,340,4.812,180,70,1.79,0.1,0.104
140,340,4.812,180,70,1.79,0.2,0.216
140,340,4.812,180,70,6.62,0.1,0.107
140,340,4.812,180,70,6.62,0.2,0.221
140,340,4.812,180,70,8,0.1,0.084
100,180,3.88,70,70,8,0.1,0.236
140,340,4.812,180,70,8,0.2,0.187
140,340,4.812,70,103,1.3,0.1,0.027
140,340,4.812,70,103,1.3,0.2,0.125
140,340,4.812,70,103,1.79,0.1,-0.02
140,340,4.812,70,103,1.79,0.2,0.183
140,340,4.812,70,103,6.62,0.1,-0.002
140,340,4.812,70,103,6.62,0.2,0.235
140,340,4.812,70,103,8,0.1,0.073
140,340,4.812,70,103,8,0.2,0.03
140,340,4.812,70,250,1.3,0.1,0.002
100,180,3.88,70,70,8,0.2,0.363
140,340,4.812,70,250,1.3,0.2,0.238
140,340,4.812,70,250,1.79,0.1,0.014
140,340,4.812,70,250,1.79,0.2,0.167
140,340,4.812,70,250,6.62,0.1,0.011
140,340,4.812,70,250,6.62,0.2,0.123
140,340,4.812,70,250,8,0.1,0.018
140,340,4.812,70,250,8,0.2,-0.072
140,340,4.812,70,300,1.3,0.1,0.044
140,340,4.812,70,300,1.3,0.2,0.233
140,340,4.812,70,300,1.79,0.1,-0.001
100,180,3.88,90,103,1.3,0.1,0.348
140,340,4.812,70,300,1.79,0.2,0.039
140,340,4.812,70,300,6.62,0.1,0.009
140,340,4.812,70,300,6.62,0.2,-0.162
140,340,4.812,70,300,8,0.1,-0.008
140,340,4.812,70,300,8,0.2,-0.058
140,340,4.812,70,70,1.3,0.1,0.029
140,340,4.812,70,70,1.3,0.2,0.018
140,340,4.812,70,70,1.79,0.1,-0.026
140,340,4.812,70,70,1.79,0.2,0.032
140,340,4.812,70,70,6.62,0.1,-0.044
100,180,3.88,90,103,1.3,0.2,0.253
140,340,4.812,70,70,6.62,0.2,0.163
140,340,4.812,70,70,8,0.1,0.01
140,340,4.812,70,70,8,0.2,0.073
140,340,4.812,90,103,1.3,0.1,0.061
140,340,4.812,90,103,1.3,0.2,0.084
140,340,4.812,90,103,1.79,0.1,0.025
140,340,4.812,90,103,1.79,0.2,0.15
140,340,4.812,90,103,6.62,0.1,-0.023
140,340,4.812,90,103,6.62,0.2,0.14
140,340,4.812,90,103,8,0.1,0.097
100,180,3.88,90,103,1.79,0.1,0.216
140,340,4.812,90,103,8,0.2,-0.004
140,340,4.812,90,250,1.3,0.1,0.023
140,340,4.812,90,250,1.3,0.2,0.231
140,340,4.812,90,250,1.79,0.1,0.039
140,340,4.812,90,250,1.79,0.2,0.213
140,340,4.812,90,250,6.62,0.1,0.049
140,340,4.812,90,250,6.62,0.2,0.166
140,340,4.812,90,250,8,0.1,0.046
140,340,4.812,90,250,8,0.2,0.154
140,340,4.812,90,300,1.3,0.1,0.041
100,180,3.88,90,103,1.79,0.2,0.458
140,340,4.812,90,300,1.3,0.2,0.114
140,340,4.812,90,300,1.79,0.1,0.112
140,340,4.812,90,300,1.79,0.2,0.156
140,340,4.812,90,300,6.62,0.1,0.056
140,340,4.812,90,300,6.62,0.2,0.098
140,340,4.812,90,300,8,0.1,-0.001
140,340,4.812,90,300,8,0.2,0.064
140,340,4.812,90,70,1.3,0.1,0.024
140,340,4.812,90,70,1.3,0.2,0.233
140,340,4.812,90,70,1.79,0.1,0.003
100,180,3.88,90,103,6.62,0.1,0.239
100,180,2.807,150,300,6.62,0.2,0.315
140,340,4.812,90,70,1.79,0.2,0.022
140,340,4.812,90,70,6.62,0.1,-0.053
140,340,4.812,90,70,6.62,0.2,0.033
140,340,4.812,90,70,8,0.1,0.048
140,340,4.812,90,70,8,0.2,0.079
180,180,2.807,150,103,1.3,0.1,-0.092
180,180,2.807,150,103,1.3,0.2,-0.112
180,180,2.807,150,103,1.79,0.1,-0.037
180,180,2.807,150,103,1.79,0.2,-0.065
180,180,2.807,150,103,6.62,0.1,-0.031
100,180,3.88,90,103,6.62,0.2,0.473
180,180,2.807,150,103,6.62,0.2,-0.038
180,180,2.807,150,103,8,0.1,-0.085
180,180,2.807,150,103,8,0.2,-0.007
180,180,2.807,150,250,1.3,0.1,-0.087
180,180,2.807,150,250,1.3,0.2,0.017
180,180,2.807,150,250,1.79,0.1,-0.055
180,180,2.807,150,250,1.79,0.2,0.039
180,180,2.807,150,250,6.62,0.1,-0.071
180,180,2.807,150,250,6.62,0.2,-0.045
180,180,2.807,150,250,8,0.1,0
100,180,3.88,90,103,8,0.1,0.241
180,180,2.807,150,250,8,0.2,0.003
180,180,2.807,150,300,1.3,0.1,-0.036
180,180,2.807,150,300,1.3,0.2,-0.04
180,180,2.807,150,300,1.79,0.1,0.009
180,180,2.807,150,300,1.79,0.2,-0.057
180,180,2.807,150,300,6.62,0.1,0.025
180,180,2.807,150,300,6.62,0.2,0.009
180,180,2.807,150,300,8,0.1,-0.045
180,180,2.807,150,300,8,0.2,-0.053
180,180,2.807,150,70,1.3,0.1,-0.131
100,180,3.88,90,103,8,0.2,0.38
180,180,2.807,150,70,1.3,0.2,-0.023
180,180,2.807,150,70,1.79,0.1,-0.016
180,180,2.807,150,70,1.79,0.2,-0.024
180,180,2.807,150,70,6.62,0.1,-0.1
180,180,2.807,150,70,6.62,0.2,-0.049
180,180,2.807,150,70,8,0.1,-0.127
180,180,2.807,150,70,8,0.2,-0.034
180,180,2.807,180,103,1.3,0.1,-0.052
180,180,2.807,180,103,1.3,0.2,0.033
180,180,2.807,180,103,1.79,0.1,-0.096
100,180,3.88,90,250,1.3,0.1,0.266
180,180,2.807,180,103,1.79,0.2,-0.024
180,180,2.807,180,103,6.62,0.1,-0.048
180,180,2.807,180,103,6.62,0.2,-0.019
180,180,2.807,180,103,8,0.1,0.002
180,180,2.807,180,103,8,0.2,-0.004
180,180,2.807,180,250,1.3,0.1,0.001
180,180,2.807,180,250,1.3,0.2,-0.067
180,180,2.807,180,250,1.79,0.1,0.022
180,180,2.807,180,250,1.79,0.2,-0.134
180,180,2.807,180,250,6.62,0.1,-0.028
100,180,3.88,90,250,1.3,0.2,0.428
180,180,2.807,180,250,6.62,0.2,0.093
180,180,2.807,180,250,8,0.1,0.033
180,180,2.807,180,250,8,0.2,-0.061
180,180,2.807,180,300,1.3,0.1,-0.02
180,180,2.807,180,300,1.3,0.2,0.015
180,180,2.807,180,300,1.79,0.1,-0.026
180,180,2.807,180,300,1.79,0.2,-0.001
180,180,2.807,180,300,6.62,0.1,-0.003
180,180,2.807,180,300,6.62,0.2,-0.015
180,180,2.807,180,300,8,0.1,-0.023
100,180,3.88,90,250,1.79,0.1,0.287
180,180,2.807,180,300,8,0.2,0.024
180,180,2.807,180,70,1.3,0.1,-0.029
180,180,2.807,180,70,1.3,0.2,-0.016
180,180,2.807,180,70,1.79,0.1,-0.07
180,180,2.807,180,70,1.79,0.2,0.021
180,180,2.807,180,70,6.62,0.1,-0.037
180,180,2.807,180,70,6.62,0.2,-0.024
180,180,2.807,180,70,8,0.1,-0.035
180,180,2.807,180,70,8,0.2,-0.01
180,180,2.807,70,103,1.3,0.1,-0.124
100,180,3.88,90,250,1.79,0.2,0.52
180,180,2.807,70,103,1.3,0.2,-0.008
180,180,2.807,70,103,1.79,0.1,-0.158
180,180,2.807,70,103,1.79,0.2,-0.019
180,180,2.807,70,103,6.62,0.1,-0.135
180,180,2.807,70,103,6.62,0.2,-0.181
180,180,2.807,70,103,8,0.1,-0.099
180,180,2.807,70,103,8,0.2,-0.037
180,180,2.807,70,250,1.3,0.1,-0.072
180,180,2.807,70,250,1.3,0.2,-0.043
180,180,2.807,70,250,1.79,0.1,-0.123
100,180,3.88,90,250,6.62,0.1,0.273
180,180,2.807,70,250,1.79,0.2,-0.115
180,180,2.807,70,250,6.62,0.1,-0.038
180,180,2.807,70,250,6.62,0.2,-0.259
180,180,2.807,70,250,8,0.1,-0.088
180,180,2.807,70,250,8,0.2,-0.032
180,180,2.807,70,300,1.3,0.1,0.014
180,180,2.807,70,300,1.3,0.2,-0.12
180,180,2.807,70,300,1.79,0.1,-0.058
180,180,2.807,70,300,1.79,0.2,-0.295
180,180,2.807,70,300,6.62,0.1,-0.066
100,180,3.88,90,250,6.62,0.2,0.349
180,180,2.807,70,300,6.62,0.2,0.05
180,180,2.807,70,300,8,0.1,-0.12
180,180,2.807,70,300,8,0.2,-0.164
180,180,2.807,70,70,1.3,0.1,-0.128
180,180,2.807,70,70,1.3,0.2,-0.102
180,180,2.807,70,70,1.79,0.1,-0.056
180,180,2.807,70,70,1.79,0.2,-0.09
180,180,2.807,70,70,6.62,0.1,-0.126
180,180,2.807,70,70,6.62,0.2,-0.057
180,180,2.807,70,70,8,0.1,-0.145
100,180,3.88,90,250,8,0.1,0.244
100,180,2.807,150,300,8,0.1,0.25
180,180,2.807,70,70,8,0.2,-0.052
180,180,2.807,90,103,1.3,0.1,-0.106
180,180,2.807,90,103,1.3,0.2,-0.05
180,180,2.807,90,103,1.79,0.1,-0.091
180,180,2.807,90,103,1.79,0.2,0.014
180,180,2.807,90,103,6.62,0.1,-0.072
180,180,2.807,90,103,6.62,0.2,-0.054
180,180,2.807,90,103,8,0.1,-0.132
180,180,2.807,90,103,8,0.2,-0.024
180,180,2.807,90,250,1.3,0.1,-0.077
100,180,3.88,90,250,8,0.2,0.39
180,180,2.807,90,250,1.3,0.2,-0.09
180,180,2.807,90,250,1.79,0.1,-0.045
180,180,2.807,90,250,1.79,0.2,-0.07
180,180,2.807,90,250,6.62,0.1,-0.015
180,180,2.807,90,250,6.62,0.2,0.057
180,180,2.807,90,250,8,0.1,-0.006
180,180,2.807,90,250,8,0.2,0.089
180,180,2.807,90,300,1.3,0.1,-0.084
180,180,2.807,90,300,1.3,0.2,-0.031
180,180,2.807,90,300,1.79,0.1,-0.072
100,180,3.88,90,300,1.3,0.1,0.159
180,180,2.807,90,300,1.79,0.2,-0.1
180,180,2.807,90,300,6.62,0.1,0.006
180,180,2.807,90,300,6.62,0.2,0.201
180,180,2.807,90,300,8,0.1,-0.039
180,180,2.807,90,300,8,0.2,-0.303
180,180,2.807,90,70,1.3,0.1,-0.079
180,180,2.807,90,70,1.3,0.2,-0.009
180,180,2.807,90,70,1.79,0.1,-0.117
180,180,2.807,90,70,1.79,0.2,-0.02
180,180,2.807,90,70,6.62,0.1,-0.11
100,180,3.88,90,300,1.3,0.2,0.59
180,180,2.807,90,70,6.62,0.2,-0.033
180,180,2.807,90,70,8,0.1,-0.108
180,180,2.807,90,70,8,0.2,-0.027
180,180,3.88,150,103,1.3,0.1,-0.068
180,180,3.88,150,103,1.3,0.2,0.018
180,180,3.88,150,103,1.79,0.1,-0.111
180,180,3.88,150,103,1.79,0.2,-0.013
180,180,3.88,150,103,6.62,0.1,-0.097
180,180,3.88,150,103,6.62,0.2,-0.013
180,180,3.88,150,103,8,0.1,-0.134
100,180,3.88,90,300,1.79,0.1,0.033
180,180,3.88,150,103,8,0.2,-0.017
180,180,3.88,150,250,1.3,0.1,-0.048
180,180,3.88,150,250,1.3,0.2,0.085
180,180,3.88,150,250,1.79,0.1,-0.069
180,180,3.88,150,250,1.79,0.2,0.042
180,180,3.88,150,250,6.62,0.1,-0.014
180,180,3.88,150,250,6.62,0.2,0.002
180,180,3.88,150,250,8,0.1,-0.019
180,180,3.88,150,250,8,0.2,-0.034
180,180,3.88,150,300,1.3,0.1,-0.019
100,180,3.88,90,300,1.79,0.2,0.412
180,180,3.88,150,300,1.3,0.2,-0.105
180,180,3.88,150,300,1.79,0.1,0.01
180,180,3.88,150,300,1.79,0.2,-0.092
180,180,3.88,150,300,6.62,0.1,0.026
180,180,3.88,150,300,6.62,0.2,0.046
180,180,3.88,150,300,8,0.1,-0.025
180,180,3.88,150,300,8,0.2,-0.014
180,180,3.88,150,70,1.3,0.1,-0.088
180,180,3.88,150,70,1.3,0.2,-0.004
180,180,3.88,150,70,1.79,0.1,-0.083
100,180,3.88,90,300,6.62,0.1,0.222
180,180,3.88,150,70,1.79,0.2,0.013
180,180,3.88,150,70,6.62,0.1,-0.087
180,180,3.88,150,70,6.62,0.2,-0.017
180,180,3.88,150,70,8,0.1,-0.007
180,180,3.88,150,70,8,0.2,-0.014
180,180,3.88,180,103,1.3,0.1,-0.033
180,180,3.88,180,103,1.3,0.2,-0.077
180,180,3.88,180,103,1.79,0.1,-0.106
180,180,3.88,180,103,1.79,0.2,-0.006
180,180,3.88,180,103,6.62,0.1,-0.077
100,180,3.88,90,300,6.62,0.2,0.347
180,180,3.88,180,103,6.62,0.2,0
180,180,3.88,180,103,8,0.1,-0.126
180,180,3.88,180,103,8,0.2,-0.012
180,180,3.88,180,250,1.3,0.1,-0.046
180,180,3.88,180,250,1.3,0.2,-0.034
180,180,3.88,180,250,1.79,0.1,-0.049
180,180,3.88,180,250,1.79,0.2,-0.033
180,180,3.88,180,250,6.62,0.1,-0.003
180,180,3.88,180,250,6.62,0.2,-0.035
180,180,3.88,180,250,8,0.1,-0.029
100,180,3.88,90,300,8,0.1,0.197
180,180,3.88,180,250,8,0.2,0.012
180,180,3.88,180,300,1.3,0.1,-0.066
180,180,3.88,180,300,1.3,0.2,0.049
180,180,3.88,180,300,1.79,0.1,-0.037
180,180,3.88,180,300,1.79,0.2,-0.018
180,180,3.88,180,300,6.62,0.1,-0.046
180,180,3.88,180,300,6.62,0.2,-0.127
180,180,3.88,180,300,8,0.1,0.008
180,180,3.88,180,300,8,0.2,0.059
180,180,3.88,180,70,1.3,0.1,-0.064
100,180,3.88,90,300,8,0.2,0.399
180,180,3.88,180,70,1.3,0.2,0.015
180,180,3.88,180,70,1.79,0.1,-0.06
180,180,3.88,180,70,1.79,0.2,-0.056
180,180,3.88,180,70,6.62,0.1,-0.078
180,180,3.88,180,70,6.62,0.2,0.009
180,180,3.88,180,70,8,0.1,-0.066
180,180,3.88,180,70,8,0.2,0.013
180,180,3.88,70,103,1.3,0.1,-0.009
180,180,3.88,70,103,1.3,0.2,-0.013
180,180,3.88,70,103,1.79,0.1,-0.05
100,180,3.88,90,70,1.3,0.1,0.212
100,180,2.807,150,300,8,0.2,0.285
180,180,3.88,70,103,1.79,0.2,0.018
180,180,3.88,70,103,6.62,0.1,-0.038
180,180,3.88,70,103,6.62,0.2,-0.076
180,180,3.88,70,103,8,0.1,-0.114
180,180,3.88,70,103,8,0.2,-0.016
180,180,3.88,70,250,1.3,0.1,-0.07
180,180,3.88,70,250,1.3,0.2,-0.241
180,180,3.88,70,250,1.79,0.1,-0.104
180,180,3.88,70,250,1.79,0.2,0
180,180,3.88,70,250,6.62,0.1,-0.108
100,180,3.88,90,70,1.3,0.2,0.429
180,180,3.88,70,250,6.62,0.2,-0.151
180,180,3.88,70,250,8,0.1,-0.032
180,180,3.88,70,250,8,0.2,-0.086
180,180,3.88,70,300,1.3,0.1,-0.088
180,180,3.88,70,300,1.3,0.2,-0.064
180,180,3.88,70,300,1.79,0.1,-0.097
180,180,3.88,70,300,1.79,0.2,-0.294
180,180,3.88,70,300,6.62,0.1,-0.117
180,180,3.88,70,300,6.62,0.2,-0.017
180,180,3.88,70,300,8,0.1,-0.076
100,180,3.88,90,70,1.79,0.1,0.18
180,180,3.88,70,300,8,0.2,-0.253
180,180,3.88,70,70,1.3,0.1,-0.142
180,180,3.88,70,70,1.3,0.2,-0.201
180,180,3.88,70,70,1.79,0.1,-0.158
180,180,3.88,70,70,1.79,0.2,-0.082
180,180,3.88,70,70,6.62,0.1,-0.117
180,180,3.88,70,70,6.62,0.2,-0.068
180,180,3.88,70,70,8,0.1,-0.146
180,180,3.88,70,70,8,0.2,0.03
180,180,3.88,90,103,1.3,0.1,-0.096
100,180,3.88,90,70,1.79,0.2,0.346
180,180,3.88,90,103,1.3,0.2,0.025
180,180,3.88,90,103,1.79,0.1,-0.091
180,180,3.88,90,103,1.79,0.2,-0.012
180,180,3.88,90,103,6.62,0.1,-0.06
180,180,3.88,90,103,6.62,0.2,-0.073
180,180,3.88,90,103,8,0.1,-0.11
180,180,3.88,90,103,8,0.2,-0.161
180,180,3.88,90,250,1.3,0.1,-0.052
180,180,3.88,90,250,1.3,0.2,-0.102
180,180,3.88,90,250,1.79,0.1,-0.066
100,180,3.88,90,70,6.62,0.1,0.302
180,180,3.88,90,250,1.79,0.2,0.033
180,180,3.88,90,250,6.62,0.1,-0.085
180,180,3.88,90,250,6.62,0.2,-0.083
180,180,3.88,90,250,8,0.1,-0.129
180,180,3.88,90,250,8,0.2,0.015
180,180,3.88,90,300,1.3,0.1,-0.088
180,180,3.88,90,300,1.3,0.2,-0.056
180,180,3.88,90,300,1.79,0.1,-0.048
180,180,3.88,90,300,1.79,0.2,-0.006
180,180,3.88,90,300,6.62,0.1,-0.064
100,180,3.88,90,70,6.62,0.2,0.227
180,180,3.88,90,300,6.62,0.2,-0.023
180,180,3.88,90,300,8,0.1,-0.015
180,180,3.88,90,300,8,0.2,-0.025
180,180,3.88,90,70,1.3,0.1,-0.139
180,180,3.88,90,70,1.3,0.2,-0.035
180,180,3.88,90,70,1.79,0.1,-0.093
180,180,3.88,90,70,1.79,0.2,-0.028
180,180,3.88,90,70,6.62,0.1,-0.114
180,180,3.88,90,70,6.62,0.2,-0.067
180,180,3.88,90,70,8,0.1,-0.096
100,180,3.88,90,70,8,0.1,0.192
180,180,3.88,90,70,8,0.2,-0.092
180,180,4.812,150,103,1.3,0.1,-0.128
180,180,4.812,150,103,1.3,0.2,0.044
180,180,4.812,150,103,1.79,0.1,-0.109
180,180,4.812,150,103,1.79,0.2,-0.024
180,180,4.812,150,103,6.62,0.1,-0.042
180,180,4.812,150,103,6.62,0.2,-0.03
180,180,4.812,150,103,8,0.1,-0.126
180,180,4.812,150,103,8,0.2,-0.022
180,180,4.812,150,250,1.3,0.1,0.056
100,180,3.88,90,70,8,0.2,0.414
180,180,4.812,150,250,1.3,0.2,-0.008
180,180,4.812,150,250,1.79,0.1,-0.035
180,180,4.812,150,250,1.79,0.2,-0.055
180,180,4.812,150,250,6.62,0.1,0.026
180,180,4.812,150,250,6.62,0.2,-0.028
180,180,4.812,150,250,8,0.1,-0.057
180,180,4.812,150,250,8,0.2,0.067
180,180,4.812,150,300,1.3,0.1,-0.054
180,180,4.812,150,300,1.3,0.2,-0.01
180,180,4.812,150,300,1.79,0.1,0.01
100,180,4.812,150,103,1.3,0.1,0.263
180,180,4.812,150,300,1.79,0.2,0.089
180,180,4.812,150,300,6.62,0.1,-0.048
180,180,4.812,150,300,6.62,0.2,-0.092
180,180,4.812,150,300,8,0.1,-0.002
180,180,4.812,150,300,8,0.2,-0.036
180,180,4.812,150,70,1.3,0.1,-0.105
180,180,4.812,150,70,1.3,0.2,-0.06
180,180,4.812,150,70,1.79,0.1,-0.124
180,180,4.812,150,70,1.79,0.2,-0.019
180,180,4.812,150,70,6.62,0.1,-0.122
100,180,4.812,150,103,1.3,0.2,0.403
180,180,4.812,150,70,6.62,0.2,-0.017
180,180,4.812,150,70,8,0.1,-0.017
180,180,4.812,150,70,8,0.2,-0.034
180,180,4.812,180,103,1.3,0.1,-0.059
180,180,4.812,180,103,1.3,0.2,0.026
180,180,4.812,180,103,1.79,0.1,-0.085
180,180,4.812,180,103,1.79,0.2,-0.034
180,180,4.812,180,103,6.62,0.1,-0.012
180,180,4.812,180,103,6.62,0.2,-0.052
180,180,4.812,180,103,8,0.1,-0.095
100,180,4.812,150,103,1.79,0.1,0.27
100,180,2.807,150,70,1.3,0.1,0.173
180,180,4.812,180,103,8,0.2,-0.017
180,180,4.812,180,250,1.3,0.1,-0.02
180,180,4.812,180,250,1.3,0.2,-0.029
180,180,4.812,180,250,1.79,0.1,-0.003
180,180,4.812,180,250,1.79,0.2,0.028
180,180,4.812,180,250,6.62,0.1,-0.027
180,180,4.812,180,250,6.62,0.2,-0.078
180,180,4.812,180,250,8,0.1,-0.049
180,180,4.812,180,250,8,0.2,0.027
180,180,4.812,180,300,1.3,0.1,-0.045
100,180,4.812,150,103,1.79,0.2,0.38
180,180,4.812,180,300,1.3,0.2,-0.049
180,180,4.812,180,300,1.79,0.1,-0.028
180,180,4.812,180,300,1.79,0.2,-0.027
180,180,4.812,180,300,6.62,0.1,0.035
180,180,4.812,180,300,6.62,0.2,0.369
180,180,4.812,180,300,8,0.1,-0.068
180,180,4.812,180,300,8,0.2,0.038
180,180,4.812,180,70,1.3,0.1,-0.105
180,180,4.812,180,70,1.3,0.2,-0.062
180,180,4.812,180,70,1.79,0.1,-0.07
100,180,4.812,150,103,6.62,0.1,0.28
180,180,4.812,180,70,1.79,0.2,-0.02
180,180,4.812,180,70,6.62,0.1,-0.081
180,180,4.812,180,70,6.62,0.2,0.188
180,180,4.812,180,70,8,0.1,-0.124
180,180,4.812,180,70,8,0.2,-0.106
180,180,4.812,70,103,1.3,0.1,-0.128
180,180,4.812,70,103,1.3,0.2,-0.149
180,180,4.812,70,103,1.79,0.1,-0.118
180,180,4.812,70,103,1.79,0.2,-0.197
180,180,4.812,70,103,6.62,0.1,-0.096
100,180,4.812,150,103,6.62,0.2,0.452
180,180,4.812,70,103,6.62,0.2,-0.025
180,180,4.812,70,103,8,0.1,-0.134
180,180,4.812,70,103,8,0.2,-0.092
180,180,4.812,70,250,1.3,0.1,-0.156
180,180,4.812,70,250,1.3,0.2,-0.069
180,180,4.812,70,250,1.79,0.1,-0.105
180,180,4.812,70,250,1.79,0.2,-0.065
180,180,4.812,70,250,6.62,0.1,-0.161
180,180,4.812,70,250,6.62,0.2,-0.223
180,180,4.812,70,250,8,0.1,-0.004
100,180,4.812,150,103,8,0.1,0.262
180,180,4.812,70,250,8,0.2,-0.025
180,180,4.812,70,300,1.3,0.1,-0.187
180,180,4.812,70,300,1.3,0.2,-0.259
180,180,4.812,70,300,1.79,0.1,-0.061
180,180,4.812,70,300,1.79,0.2,-0.186
180,180,4.812,70,300,6.62,0.1,-0.203
180,180,4.812,70,300,6.62,0.2,-0.244
180,180,4.812,70,300,8,0.1,-0.068
180,180,4.812,70,300,8,0.2,-0.261
180,180,4.812,70,70,1.3,0.1,-0.137
100,180,4.812,150,103,8,0.2,0.334
180,180,4.812,70,70,1.3,0.2,-0.062
180,180,4.812,70,70,1.79,0.1,-0.134
180,180,4.812,70,70,1.79,0.2,0.041
180,180,4.812,70,70,6.62,0.1,-0.156
180,180,4.812,70,70,6.62,0.2,-0.06
180,180,4.812,70,70,8,0.1,-0.124
180,180,4.812,70,70,8,0.2,-0.036
180,180,4.812,90,103,1.3,0.1,-0.106
180,180,4.812,90,103,1.3,0.2,-0.211
180,180,4.812,90,103,1.79,0.1,-0.104
100,180,4.812,150,250,1.3,0.1,0.408
180,180,4.812,90,103,1.79,0.2,-0.028
180,180,4.812,90,103,6.62,0.1,-0.078
180,180,4.812,90,103,6.62,0.2,-0.059
180,180,4.812,90,103,8,0.1,-0.101
180,180,4.812,90,103,8,0.2,-0.066
180,180,4.812,90,250,1.3,0.1,0.014
180,180,4.812,90,250,1.3,0.2,-0.107
180,180,4.812,90,250,1.79,0.1,-0.056
180,180,4.812,90,250,1.79,0.2,-0.184
180,180,4.812,90,250,6.62,0.1,-0.104
100,180,4.812,150,250,1.3,0.2,0.33
180,180,4.812,90,250,6.62,0.2,0.03
180,180,4.812,90,250,8,0.1,-0.071
180,180,4.812,90,250,8,0.2,-0.044
180,180,4.812,90,300,1.3,0.1,-0.072
180,180,4.812,90,300,1.3,0.2,-0.056
180,180,4.812,90,300,1.79,0.1,-0.059
180,180,4.812,90,300,1.79,0.2,-0.038
180,180,4.812,90,300,6.62,0.1,-0.078
180,180,4.812,90,300,6.62,0.2,-0.126
180,180,4.812,90,300,8,0.1,-0.028
100,180,4.812,150,250,1.79,0.1,0.338
180,180,4.812,90,300,8,0.2,-0.051
180,180,4.812,90,70,1.3,0.1,-0.046
180,180,4.812,90,70,1.3,0.2,-0.062
180,180,4.812,90,70,1.79,0.1,-0.111
180,180,4.812,90,70,1.79,0.2,-0.034
180,180,4.812,90,70,6.62,0.1,-0.135
180,180,4.812,90,70,6.62,0.2,-0.021
180,180,4.812,90,70,8,0.1,-0.115
180,180,4.812,90,70,8,0.2,-0.004
180,260,2.807,150,103,1.3,0.1,-0.085
100,180,4.812,150,250,1.79,0.2,0.409
180,260,2.807,150,103,1.3,0.2,0.004
180,260,2.807,150,103,1.79,0.1,-0.076
180,260,2.807,150,103,1.79,0.2,0
180,260,2.807,150,103,6.62,0.1,-0.095
180,260,2.807,150,103,6.62,0.2,-0.03
180,260,2.807,150,103,8,0.1,-0.081
180,260,2.807,150,103,8,0.2,0.011
180,260,2.807,150,250,1.3,0.1,-0.003
180,260,2.807,150,250,1.3,0.2,-0.013
180,260,2.807,150,250,1.79,0.1,0.03
100,180,4.812,150,250,6.62,0.1,0.315
100,180,2.807,150,70,1.3,0.2,0.425
180,260,2.807,150,250,1.79,0.2,-0.017
180,260,2.807,150,250,6.62,0.1,-0.057
180,260,2.807,150,250,6.62,0.2,0.007
180,260,2.807,150,250,8,0.1,-0.017
180,260,2.807,150,250,8,0.2,0.016
180,260,2.807,150,300,1.3,0.1,0.024
180,260,2.807,150,300,1.3,0.2,0.061
180,260,2.807,150,300,1.79,0.1,-0.012
180,260,2.807,150,300,1.79,0.2,0.098
180,260,2.807,150,300,6.62,0.1,0.027
100,180,4.812,150,250,6.62,0.2,0.6
180,260,2.807,150,300,6.62,0.2,0.019
180,260,2.807,150,300,8,0.1,0.099
180,260,2.807,150,300,8,0.2,0.034
180,260,2.807,150,70,1.3,0.1,-0.094
180,260,2.807,150,70,1.3,0.2,0.005
180,260,2.807,150,70,1.79,0.1,-0.122
180,260,2.807,150,70,1.79,0.2,-0.015
180,260,2.807,150,70,6.62,0.1,-0.063
180,260,2.807,150,70,6.62,0.2,0.012
180,260,2.807,150,70,8,0.1,-0.047
100,180,4.812,150,250,8,0.1,0.306
180,260,2.807,150,70,8,0.2,0.009
180,260,2.807,180,103,1.3,0.1,-0.017
180,260,2.807,180,103,1.3,0.2,0.048
180,260,2.807,180,103,1.79,0.1,-0.044
180,260,2.807,180,103,1.79,0.2,0.016
180,260,2.807,180,103,6.62,0.1,-0.042
180,260,2.807,180,103,6.62,0.2,0.029
180,260,2.807,180,103,8,0.1,0.033
180,260,2.807,180,103,8,0.2,-0.014
180,260,2.807,180,250,1.3,0.1,-0.025
100,180,4.812,150,250,8,0.2,0.423
180,260,2.807,180,250,1.3,0.2,0.028
180,260,2.807,180,250,1.79,0.1,0.056
180,260,2.807,180,250,1.79,0.2,-0.01
180,260,2.807,180,250,6.62,0.1,0.03
180,260,2.807,180,250,6.62,0.2,0.014
